Suit	Card	Meaning
"The swords is the suit of intelligence, logic, truth, ambition, conflict and communication. It is associated with the element of air. In readings, these cards focus on the faculty and power of intellect, which like the swords themselves, are double-edged. This can be used for both good or evil, to help and to harm, and our greatest conflicts usually come from this delicate balance. At their worst, the swords can be abusive, harsh, and lack empathy.
Learn More about the Suit of Swords"
Swords	King of Swords	Upright: head over heart, discipline, truth, Reversed: manipulative, cruel, weakness
Swords	Knight of Swords	Upright: action, impulsiveness, defending beliefs, Reversed: no direction, disregard for consequences, unpredictability
Swords	Queen of Swords	Upright: complexity, perceptiveness, clear mindedness, Reversed: cold hearted, cruel, bitterness
Swords	Page of Swords	Upright: curiosity, restlessness, mental energy, Reversed: deception, manipulation, all talk
Swords	Ten of Swords	Upright: failure, collapse, defeat, Reversed: can't get worse, only upwards, inevitable end
Swords	Nine of Swords	Upright: anxiety, hopelessness, trauma, Reversed: hope, reaching out, despair
Swords	Eight of Swords	Upright: imprisonment, entrapment, self-victimization, Reversed: self acceptance, new perspective, freedom
Swords	Seven of Swords	Upright: deception, trickery, tactics and strategy, Reversed: coming clean, rethinking approach, deception
Swords	Six of Swords	Upright: transition, leaving behind, moving on, Reversed: emotional baggage, unresolved issues, resisting transition
Swords	Five of Swords	Upright: unbridled ambition, win at all costs, sneakiness, Reversed: lingering resentment, desire to reconcile, forgiveness
Swords	Three of Swords	Upright: heartbreak, suffering, grief, Reversed: recovery, forgiveness, moving on
Swords	Four of Swords	Upright: rest, restoration, contemplation, Reversed: restlessness, burnout, stress
Swords	Two of Swords	Upright: difficult choices, indecision, stalemate, Reversed: lesser of two evils, no right choice, confusion
Swords	Ace of Swords	Upright: breakthrough, clarity, sharp mind, Reversed: confusion, brutality, chaos
"The pentacles is the suit of all things worldly and material. Though we will immediately think of the pentacles as relating to financial matters, we also can understand them as being associated with security, stability, nature, health, and prosperity. The pentacles are of earth element. When we see pentacles show up in a reading, they are usually concerned with your long term future, career, generosity, your household, business investments and your feelings of sensuality. The negative side of the pentacles show up as greed, jealousy, miserliness, and unbridled ambition at the cost of all else.
Learn More about the Suit of Pentacles"
Pentacles	King of Pentacles	Upright: abundance, prosperity, security, Reversed: greed, indulgence, sensuality
Pentacles	Queen of Pentacles	Upright: practicality, creature comforts, financial security, Reversed: self-centeredness, jealousy, smothering
Pentacles	Knight of Pentacles	Upright: efficiency, hard work, responsibility, Reversed: laziness, obsessiveness, work without reward
Pentacles	Page of Pentacles	Upright: ambition, desire, diligence, Reversed: lack of commitment, greediness, laziness
Pentacles	Ten of Pentacles	Upright: legacy, culmination, inheritance, Reversed: fleeting success, lack of stability, lack of resources
Pentacles	Nine of Pentacles	Upright: fruits of labor, rewards, luxury, Reversed: reckless spending, living beyond means, false success
Pentacles	Eight of Pentacles	Upright: apprenticeship, passion, high standards, Reversed: lack of passion, uninspired, no motivation
Pentacles	Seven of Pentacles	Upright: hard work, perseverance, diligence, Reversed: work without results, distractions, lack of rewards
Pentacles	Six of Pentacles	Upright: charity, generosity, sharing, Reversed: strings attached, stinginess, power and domination
Pentacles	Five of Pentacles	Upright: need, poverty, insecurity, Reversed: recovery, charity, improvement
Pentacles	Four of Pentacles	Upright: conservation, frugality, security, Reversed: greediness, stinginess, possessiveness
Pentacles	Three of Pentacles	Upright: teamwork, collaboration, building, Reversed: lack of teamwork, disorganized, group conflict
Pentacles	Two of Pentacles	Upright: balancing decisions, priorities, adapting to change, Reversed: loss of balance, disorganized, overwhelmed
Pentacles	Ace of Pentacles	Upright: opportunity, prosperity, new venture, Reversed: lost opportunity, missed chance, bad investment
