File,Name,Type,Family,Size,Source,Page #,Source Type,Ed.,CR,Notes,Environment,Classify 1,Classify 2,Classify 3,Entry,Subtypes,Classify 4
D&D Monsters - 3 _ 3.5.csv,Crystal screamer,Magical beast,,Gargantuan,Bastion of Broken Souls,41,Adventure,3,16,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Soulmarauder, spiritovore energon",Outsider (incorporeal),,Huge,Bastion of Broken Souls,42,Adventure,3,20,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Soulscaper, spiritovore energon",Outsider (incorporeal),,Large,Bastion of Broken Souls,42,Adventure,3,22,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Soulsipper, spiritovore energon",Outsider (incorporeal),,Large,Bastion of Broken Souls,42,Adventure,3,16,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Aleax,Construct,,Varies,Book of Exalted Deeds,158,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Archon,"Outsider (Archon, extraplanar, good, lawful)",Archon,Varies,Book of Exalted Deeds,159,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Archon, owl","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,159,Supplement,3.5,11,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Archon, sword","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,160,Supplement,3.5,11,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Archon, throne","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,162,Supplement,3.5,15,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Archon, warden","Outsider (Archon, extraplanar, good, lawful)",Archon,Large,Book of Exalted Deeds,163,Supplement,3.5,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Asura,"Outsider (chaotic, extraplanar, good)",,Medium,Book of Exalted Deeds,164,Supplement,3.5,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Bariaur,"Outsider (chaotic, extraplanar, good)",,Large,Book of Exalted Deeds,165,Supplement,3.5,3,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Bariaur, defender of ysgard","Outsider (chaotic, extraplanar, good)",,Large,Book of Exalted Deeds,165,Supplement,3.5,9,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Crypt warden,Deathless,,Medium,Book of Exalted Deeds,167,Supplement,3.5,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Eladrin, coure","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Tiny,Book of Exalted Deeds,168,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Eladrin, firre","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Medium,Book of Exalted Deeds,169,Supplement,3.5,10,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Eladrin, shiradi","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Large,Book of Exalted Deeds,170,Supplement,3.5,14,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Eladrin, tulani","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Medium,Book of Exalted Deeds,171,Supplement,3.5,18,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Guardinal,"Outsider (extraplanar, Good,Guardinal)",Guardinal,Varies,Book of Exalted Deeds,172,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Guardinal, equinal","Outsider (extraplanar, Good,Guardinal)",Guardinal,Large,Book of Exalted Deeds,173,Supplement,3.5,6,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Guardinal, musteval","Outsider (extraplanar, Good,Guardinal)",Guardinal,Tiny,Book of Exalted Deeds,174,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Guardinal, ursinal","Outsider (extraplanar, Good,Guardinal)",Guardinal,Large,Book of Exalted Deeds,174,Supplement,3.5,10,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Hollyphant,"Outsider (extraplanar, good)",,Small/Large,Book of Exalted Deeds,176,Supplement,3.5,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Leskylor,Magical beast,,Large,Book of Exalted Deeds,177,Supplement,3.5,7,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Leskylor, three-headed",Magical beast,,Large,Book of Exalted Deeds,177,Supplement,3.5,10,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Moon dog,"Outsider (extraplanar, good)",,Medium,Book of Exalted Deeds,179,Supplement,3.5,12,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Quesar,Construct (extraplanar),,Medium,Book of Exalted Deeds,180,Supplement,3.5,7,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Rhek,Monstrous humanoid (extraplanar),,Medium,Book of Exalted Deeds,181,Supplement,3.5,4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Rhek, chaosgrinder",Monstrous humanoid (extraplanar),,Medium,Book of Exalted Deeds,181,Supplement,3.5,12,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Sacred watcher,Deathless (augmented Humanoid),,Medium,Book of Exalted Deeds,182,Supplement,3.5,7,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Saint,"Outsider (augmented Humanoid, Native)",,Medium,Book of Exalted Deeds,184,Supplement,3.5,9,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Sanctified creature,As base creature,,Varies,Book of Exalted Deeds,186,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Swarm, apocalypse frog",Magical beast (swarm),Swarm,Diminutive,Book of Exalted Deeds,188,Supplement,3.5,4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Swarm, bronze locust",Construct (swarm),Swarm,Fine,Book of Exalted Deeds,188,Supplement,3.5,17,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Swarm, deathraven",Magical beast (swarm),Swarm,Tiny,Book of Exalted Deeds,189,Supplement,3.5,20,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Swarm, divine wrath",(swarm),Swarm,Varies,Book of Exalted Deeds,188,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Swarm, sunfly","Outsider (extraplanar, good, Swarm)",Swarm,Diminutive,Book of Exalted Deeds,190,Supplement,3.5,10,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Bone creature (template),Undead,,Varies,Book of Vile Darkness,184,Supplement,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Corpse creature (template),Undead,,Varies,Book of Vile Darkness,185,Supplement,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Corrupted cretaure (template),Aberration,,Varies,Book of Vile Darkness,186,Supplement,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, babau","Outsider (chaotic, evil, tanar'ri)",Demon,Medium,Book of Vile Darkness,173,Supplement,3,7,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, bar-lgura","Outsider (chaotic, evil, tanar'ri)",Demon,Medium,Book of Vile Darkness,171,Supplement,3,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, chasme","Outsider (chaotic, evil, tanar'ri)",Demon,Large,Book of Vile Darkness,174,Supplement,3,10,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, manes","Outsider (chaotic, evil, tanar'ri)",Demon,Small,Book of Vile Darkness,169,Supplement,3,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, rutterkin","Outsider (chaotic, evil, tanar'ri)",Demon,Medium,Book of Vile Darkness,170,Supplement,3,3,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, shadow demon","Outsider (chaotic, evil)",Demon,Medium,Book of Vile Darkness,173,Supplement,3,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Devil, ghargatula","Outsider (baatezu, evil, lawful)",Devil,Medium,Book of Vile Darkness,176,Supplement,3,16,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Devil, kocrachon","Outsider (baatezu, evil, lawful)",Devil,Medium,Book of Vile Darkness,175,Supplement,3,6,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Eye of fear and flame,Undead,,Medium,Book of Vile Darkness,177,Supplement,3,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Kython,Aberration,Kython,Varies,Book of Vile Darkness,178,Supplement,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Kython, adult",Aberration,Kython,Medium,Book of Vile Darkness,179,Supplement,3,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Kython, broodling",Aberration,Kython,Small,Book of Vile Darkness,179,Supplement,3,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Kython, impaler",Aberration,Kython,Medium,Book of Vile Darkness,180,Supplement,3,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Kython, juvenile",Aberration,Kython,Medium,Book of Vile Darkness,179,Supplement,3,3,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Kython, slaughterking",Aberration,Kython,Large,Book of Vile Darkness,181,Supplement,3,13,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Kython, slaymaster",Aberration,Kython,Large,Book of Vile Darkness,180,Supplement,3,11,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Vaath,Outsider,,Large,Book of Vile Darkness,182,Supplement,3,4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Vilewight,Undead,,Medium,Book of Vile Darkness,183,Supplement,3,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Dendar the Night Serpent,"Outsider (evil, extraplanar)",,Colossal,Champions of Ruin,140,Setting - Forgotten Realms,3.5,26,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Devil, malikizid, the branded king","Outsider (baatezu, evil, extraplanar, lawful)",Devil,Large,Champions of Ruin,155,Setting - Forgotten Realms,3.5,27,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Eltab, lord of the hidden layer","Outsider (chaotic, extraplanar, evil)",,Large,Champions of Ruin,133,Setting - Forgotten Realms,3.5,28,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Ithyak-ortheel,"Outsider (chaotic, evil, extraplanar)",,Colossal,Champions of Ruin,149,Setting - Forgotten Realms,3.5,22,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Kezef the Chaos Hound,"Outsider (chaotic, evil, extraplanar)",,Huge,Champions of Ruin,144,Setting - Forgotten Realms,3.5,21,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Living zombie (template),As base creature,,Varies,Champions of Ruin,129,Setting - Forgotten Realms,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Battle effigy,Construct,,Medium,Champions of Valor,153,Setting - Forgotten Realms,3.5,6,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, amphail gray",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, calimite",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, chionthar",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, cormyrean destrier",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, dales pony",Animal,Equine,Medium,Champions of Valor,154,Setting - Forgotten Realms,3.5,1/4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, dambraii",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, haMonster Manualer pony",Animal,Equine,Medium,Champions of Valor,155,Setting - Forgotten Realms,3.5,1/2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, island pony",Animal,Equine,Medium,Champions of Valor,155,Setting - Forgotten Realms,3.5,1/4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, kromlor",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, lhesperan",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, meth",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, nars",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, raurin",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, semphari",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, shaaran zebra",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, shad'iar",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, sosser",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, steppe",Animal,Equine,Large,Champions of Valor,157,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, tharurr",Animal,Equine,Large,Champions of Valor,157,Setting - Forgotten Realms,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, uglib",Animal,Equine,Medium,Champions of Valor,157,Setting - Forgotten Realms,3.5,1/3,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Equine, whiteshield",Animal,Equine,Medium,Champions of Valor,157,Setting - Forgotten Realms,3.5,1/2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Dweomervore,Dragon,,Small,City of Splendors: Waterdeep,134,Setting - Forgotten Realms,3.5,7,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Guardgoyle,Construct,,Small,City of Splendors: Waterdeep,135,Setting - Forgotten Realms,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Leucrotta,Magical beast,,Large,City of Splendors: Waterdeep,136,Setting - Forgotten Realms,3.5,4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Leucrotta, changesteed",Magical beast (shapechanger),,Large,City of Splendors: Waterdeep,137,Setting - Forgotten Realms,3.5,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Scaladar,Construct,,Large,City of Splendors: Waterdeep,138,Setting - Forgotten Realms,3.5,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Walking statue of Waterdeep,Construct,,Gargantuan,City of Splendors: Waterdeep,139,Setting - Forgotten Realms,3.5,18,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Watchspider,Magical beast,,Medium,City of Splendors: Waterdeep,140,Setting - Forgotten Realms,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Wilora,Magical beast,,Tiny,City of Splendors: Waterdeep,141,Setting - Forgotten Realms,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Wraith, sea wraith",Undead (incorporeal),Wraith,Medium,City of Splendors: Waterdeep,142,Setting - Forgotten Realms,3.5,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Arachnoid creature (template),Aberration,,Varies,City of the Spider Queen,124,Adventure - Forgotten Realms,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, blood fiend",Undead,Demon,Large,City of the Spider Queen,116,Adventure - Forgotten Realms,3,14,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Demon, maurezhi","Outsider (chaotic, evil)",Demon,Medium,City of the Spider Queen,117,Adventure - Forgotten Realms,3,9,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Drider vampire,Undead,,Large,City of the Spider Queen,118,Adventure - Forgotten Realms,3,9,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Ghoul, abyssal ghoul",Undead,,Medium,City of the Spider Queen,115,Adventure - Forgotten Realms,3,10,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Golem, spiderstone golem",Construct,Golem,Large,City of the Spider Queen,120,Adventure - Forgotten Realms,3,18,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Half-dragon, faerunian (template)",Dragon,Dragon,Varies,City of the Spider Queen,126,Adventure - Forgotten Realms,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Keening spirit (template),Undead,,Varies,City of the Spider Queen,126,Adventure - Forgotten Realms,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Orb wraith,Undead,,Huge,City of the Spider Queen,122,Adventure - Forgotten Realms,3,19,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Quth-maren,Undead,,Medium,City of the Spider Queen,123,Adventure - Forgotten Realms,3,7,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Revenant (template),Undead,,Varies,City of the Spider Queen,127,Adventure - Forgotten Realms,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Silveraith (template),Undead (incorporeal),,Varies,City of the Spider Queen,127,Adventure - Forgotten Realms,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Spider, jade spider",Construct,,Gargantuan,City of the Spider Queen,121,Adventure - Forgotten Realms,3,14,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Wraith spider,Undead,Wraith,Varies,City of the Spider Queen,124,Adventure - Forgotten Realms,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Cesspit ooze,Ooze,,Large,Cityscape,128,Supplement,3.5,9,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Golem, siege golem",Construct,Golem,Gargantuan,Cityscape,126,Supplement,3.5,12,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Pest swarm,Animal,,Tiny,Cityscape,136,Supplement,3.5,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Ripper,Aberration,,Medium,Cityscape,131,Supplement,3.5,6,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Sepulchral thief (template),Undead,,Varies,Cityscape,133,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Zeitgeist,Fey,,Huge,Cityscape,138,Supplement,3.5,23,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Jumping caltrop,Construct,,Tiny,Complete Adventurer,133,Supplement,3.5,1/4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Animated rug of welcome,Construct,,Large,Complete Arcane,150,Supplement,3.5,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Effigy creature (template),Construct,,Varies,Complete Arcane,152,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Grue, chaggrin (earth grue) (elemental grue)","Elemental (earth, evil, extraplanar)",Grue,Medium,Complete Arcane,153,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Grue, harginn (fire grue) (elemental grue)","Elemental (evil, extraplanar, fire)",Grue,Medium,Complete Arcane,154,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Grue, ildriss (air grue) (elemental grue)","Elemental (air, evil, extraplanar)",Grue,Medium,Complete Arcane,155,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Grue, vardigg (water grue) (elemental grue)","Elemental (evil, extraplanar, water)",Grue,Medium,Complete Arcane,155,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Monolith, air","Elemental (air, extraplanar)",Elemental,Gargantuan,Complete Arcane,156,Supplement,3.5,17,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Monolith, earth","Elemental (earth, extraplanar)",Elemental,Gargantuan,Complete Arcane,157,Supplement,3.5,17,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Monolith, fire","Elemental (extraplanar, fire)",Elemental,Gargantuan,Complete Arcane,158,Supplement,3.5,17,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Monolith, water","Elemental (extraplanar, water)",Elemental,Gargantuan,Complete Arcane,158,Supplement,3.5,17,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Pseudonatural creature (template),Outsider,,Varies,Complete Arcane,160,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Spellstitched (template),As base creature,,Varies,Complete Arcane,161,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Bogun,Construct,,Tiny,Complete Divine,152,Supplement,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Agile loper,Construct,,Varies,Complete Psionic,121,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Alabaster aerial,Construct,,Varies,Complete Psionic,122,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Amber tunneler,Construct,,Varies,Complete Psionic,123,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Anathemic carapace,Construct,,Varies,Complete Psionic,124,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Astral aquan,Construct,,Varies,Complete Psionic,125,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Astral construct,Construct,,Varies,Complete Psionic,120,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Ebony stinger,Construct,,Varies,Complete Psionic,126,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Ectoplasmic swarm,"Magical beast (Psionic, Swarm)",,Diminutive,Complete Psionic,129,Supplement,3.5,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Elemental steward, arctine","Elemental (Cold, extraplanar, psionic, water)",Elemental,Small,Complete Psionic,130,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Elemental steward, emberling","Elemental (extraplanar, fire, psionic)",Elemental,Small,Complete Psionic,130,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Elemental steward, geodite","Elemental (earth, extraplanar, psionic)",Elemental,Small,Complete Psionic,131,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Elemental steward, tempestan","Elemental (air, extraplanar, psionic)",Elemental,Small,Complete Psionic,132,Supplement,3.5,2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Emerald gyre,Construct,,Varies,Complete Psionic,127,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Iridescent serpent,Construct,,Varies,Complete Psionic,128,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Larval flayer,Aberration (psionic),,Tiny,Complete Psionic,133,Supplement,3.5,1,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Shadow fet,"Outsider (evil, extraplanar, psionic)",,Large,Complete Psionic,134,Supplement,3.5,5,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Sibyllic guardian,"Outsider (Archon, extraplanar, good, lawful, psionic)",,Medium,Complete Psionic,135,Supplement,3.5,10,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Spectral savant (template),Undead (humanoid),,Varies,Complete Psionic,136,Supplement,3.5,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Blade guardian,Construct,,Medium,Complete Warrior,120,Supplement,3.5,6,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Gauntlet guardian,Construct,,Small,Complete Warrior,120,Supplement,3.5,4,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Spark guardian,Construct,,Tiny,Complete Warrior,119,Supplement,3.5,3,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Bat, desmodu guard",Animal,,Large,Deep Horizon,31,Adventure,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Bat, desmodu war",Animal,,Huge,Deep Horizon,31,Adventure,3,Varies,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Desmodu,Monstrous humanoid,,Large,Deep Horizon,29,Adventure,3,9,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Harrier,Magical beast,,Large,Defenders of the Faith,87,Supplement,3,3,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Cyclops, greater",Giant,,Huge,Deities and Demigods,132,Supplement,3,11,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Cyclops, lesser",Giant,,Large,Deities and Demigods,132,Supplement,3,8,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Dwarf einherjar,Outsider (quasi-deity),Dwarf,Small,Deities and Demigods,199,Supplement,3,20,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Elf, einherjar",Outsider (quasi-deity),Elf,Medium,Deities and Demigods,199,Supplement,3,20,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,Faun,Fey,,Medium,Deities and Demigods,133,Supplement,3,1/2,,,,,,,,
D&D Monsters - 3 _ 3.5.csv,"Frost giant, jotunheim",Outsider (evil),,Gargantuan,Deities and Demigods,200,Supplement,3,20,,,,,,,,
