Name,Source,Entry,Size,Type,Subtypes,Classify 1,Classify 2,Classify 3,Classify 4
Russet Mold,Tome of Horrors Revised,Hazard,,Plant,,Russet Mold,,,
Poisonous Coral,Vaults of Pandius,Hazard,,Plant,,Coral,Poisonous,,
Zzonga-Bush,Vaults of Pandius,Hazard,,Plant,,Zzonga-Bush,,,
Amber Barnacles,Dragon #347,Hazard,,Vermin,,Amber Barnacle,,,
Mineralmintes,Dragon #347,Hazard,,Vermin,,Mineralminte,,,
Fear Moths,Dragons of Faerûn,Hazard,,Vermin,,Moth,Fear,,
Plague Gnat,Dungeon #126,Hazard,,Vermin,,Plague Gnat,,,
Rot Grub,Dungeonscape,Hazard,,Vermin,,Rot Grub,,,
Bookworm,Tome of Horrors Revised,Hazard,,Vermin,,Bookworm,,,
Piercer,Tome of Horrors Revised,Hazard,,Vermin,,Piercer,,,
Throat Leech,Tome of Horrors Revised,Hazard,,Vermin,,Leech,Throat,,
Green Slime,Dungeon Master's Guide (Special Edition),Hazard,,,,Green Slime,,,
Powder Moth,Vaults of Pandius,Hazard,,,,Moth,Powder,,
Yellow Mould,Vaults of Pandius,Hazard,,,,Yellow Mold,,,
Mistling Dryad,Forge of War,Template,Medium,Fey,,Dryad,Mistling,,
Bound Spirit,Age of Mortals,Template,,Template,,Bound Spirit,,,
Ogre Titan,Age of Mortals,Template,,Template,,Ogre Titan,,,
Ankholian Undead,Bestiary of Krynn,Template,,Template,,Ankholian Undead,,,
Bloodrager,Bestiary of Krynn,Template,,Template,,Bloodrager,,,
Child of the Sea,Bestiary of Krynn,Template,,Template,Aquatic,Child of the Sea,,,
Dark Thrall of Onysablet,Bestiary of Krynn,Template,,Template,,Dark Thrall of Onysablet,,,
Dragon Vassal,Bestiary of Krynn,Template,,Template,,Dragon Vassal,,,
"Dragonspawn, Abomination",Bestiary of Krynn,Template,,Template,,Dragonspawn,Krynnish,Abomination,
"Dragonspawn, Sea",Bestiary of Krynn,Template,,Template,,Dragonspawn,Krynnish,Sea,
Forestmaster,Bestiary of Krynn,Template,,Template,,Forestmaster,,,
Gurik Cha'ahl,Bestiary of Krynn,Template,,Template,,Gurik Cha'ahl,,,
Proto-Creature,Bestiary of Krynn,Template,,Template,,Proto-Creature,,,
Sacred Guardian,Bestiary of Krynn,Template,,Template,Augmented,Sacred Guardian,,,
Skorenoi,Bestiary of Krynn,Template,,Template,Chaotic,Skorenoi,,,
Tainted-Blood,Bestiary of Krynn,Template,,Template,,Tainted-Blood,,,
Wichtlin,Bestiary of Krynn,Template,,Template,Augmented,Wichtlin,,,
Dragonspawn Template (Errata),Bestiary of Krynn Errata,Template,,Template,Augmented,Dragonspawn,Krynnish,,
Accantus,"Bestiary of Krynn, Revised",Template,,Template,,Child of the Sea,Accantus,,
Axiomatic Creature,"Bestiary of Krynn, Revised",Template,,Template,,Axiomatic,,,
Alias Vessel,"Bestiary of the Realms, Volume 2",Template,,Template,,Alias Vessel,,,
Barrowe,"Bestiary of the Realms, Volume 2",Template,,Template,Augmented,Barrowe,,,
Cairn,"Bestiary of the Realms, Volume 2",Template,,Template,Augmented,Cairn,,,
Carrion Dead,"Bestiary of the Realms, Volume 2",Template,,Template,Augmented,Carrion Dead,,,
Dark Plant,"Bestiary of the Realms, Volume 2",Template,,Template,Augmented,Dark Plant,,,
Death Fey,"Bestiary of the Realms, Volume 2",Template,,Template,Augmented,Death Fey,,,
Seelie/Unseelie Sprite,"Bestiary of the Realms, Volume 2",Template,,Template,,Sprite,Seelie Faerie,,
"Sentient Slime, Jabbering Sentient Slime","Bestiary of the Realms, Volume 2",Template,,Template,Psionic,Jabbering Sentient Slime,,,
Shadowstaff,"Bestiary of the Realms, Volume 2",Template,,Template,Incorporeal,Shadowstaff,,,
Skeletal Colossus,"Bestiary of the Realms, Volume 2",Template,,Template,,Skeleton,Skeletal Colossus,,
"Vermin, Dung Crawler","Bestiary of the Realms, Volume 2",Template,,Template,,Centipede,Monstrous,Dung Crawler,
Tainted Fey,Blood and Shadows: The Dark Elves of Tellene,Template,,Template,,Tainted Fey,,,
Aleax,Book of Exalted Deeds,Template,,Template,,Aleax,,,
Sacred Watcher,Book of Exalted Deeds,Template,,Template,,Sacred Watcher,,,
Saint,Book of Exalted Deeds,Template,,Template,Native,Saint,,,
Sanctified Creature,Book of Exalted Deeds,Template,,Template,,Sanctified,,,
Champion of Rajaat,Champion of Rajaat,Template,,Template,,Champion of Rajaat,,,
Living Zombie,Champions of Ruin,Template,,Template,,Zombie,Living,,
Keening Spirit,City of the Spider Queen,Template,,Template,"Augmented Humanoid, Incorporeal",Keening Spirit,,,
Revenant,City of the Spider Queen,Template,,Template,Augmented Humanoid,Revenant,,,
Silveraith,City of the Spider Queen,Template,,Template,"Augmented Humanoid, Incorporeal",Silveraith,,,
Sepulchral Thief,Cityscape: An Essential Guide to Urban Adventuring,Template,,Template,,Sepulchral Thief,,,
Effigy Creature,Complete Arcane,Template,,Template,,Effigy,,,
Pseudonatural Creature,Complete Arcane,Template,,Template,,Pseudonatural,,,
Spellstitched,Complete Arcane,Template,,Template,,Spellstitched,,,
Spectral Savant,Complete Psionic,Template,,Template,Incorporeal,Spectral Savant,,,
Vodoni Lycanthrope,Converted Spelljammer Creatures,Template,,Template,Shapechanger,Vodoni,,,
Dark Creature,Cormyr: The Tearing of the Weave (FR1),Template,,Template,Extraplanar,Dark,,,
Shadowslain,Cormyr: The Tearing of the Weave (FR1),Template,,Template,Augmented,Shadowslain,,,
Bole-Undead,Creature Catalogue,Template,,Template,,Bole-Undead,,,
Burnbones,Creature Catalogue,Template,,Template,,Burnbones,,,
Burning Zombie,Creature Catalogue,Template,,Template,,Zombie,Burning,,
Canopic Shape,Creature Catalogue,Template,,Template,,Canopic Shape,,,
Ch'ing Shih,Creature Catalogue,Template,,Template,,Vampire,Ch'ing Shih,,
Dark Lord,Creature Catalogue,Template,,Template,,Dark Lord,,,
Dry Bones,Creature Catalogue,Template,,Template,,Skeleton,Dry Bones,,
Gem Eyes,Creature Catalogue,Template,,Template,Augmented,Skeleton,Gem Eyes,,
Goblin Vampire,Creature Catalogue,Template,,Template,,Vampire,Goblin,,
"Greater Vampire, Arch-Prince",Creature Catalogue,Template,,Template,,Vampire,Greater,Arch-Prince,
"Greater Vampire, Prince",Creature Catalogue,Template,,Template,,Vampire,Greater,Prince,
"Greater Vampire, Princeling",Creature Catalogue,Template,,Template,,Vampire,Greater,Princeling,
"Greater Vampire, Vampire Arch-Lord",Creature Catalogue,Template,,Template,,Vampire,Greater,Arch-Lord,
"Greater Vampire, Vampire Lord",Creature Catalogue,Template,,Template,,Vampire,Greater,Lord,
Headless Horseman (Template),Creature Catalogue,Template,,Template,Augmented,Headless Horseman,,,
King-Wight,Creature Catalogue,Template,,Template,,King-Wight,,,
Life-bane Duplicate,Creature Catalogue,Template,,Template,,Life-Bane Duplicate,,,
"Lycanthrope, Weremouse",Creature Catalogue,Template,,Template,,Lycanthrope,Weremouse,,
Pseudo-Undead,Creature Catalogue,Template,,Template,,Pseudo-Undead,,,
"Pseudo-Undead, Pseudoghast",Creature Catalogue,Template,,Template,,Pseudo-Undead,Ghast,,
"Pseudo-Undead, Pseudoghoul",Creature Catalogue,Template,,Template,,Pseudo-Undead,Ghoul,,
"Pseudo-Undead, Pseudospectre",Creature Catalogue,Template,,Template,,Pseudo-Undead,Spectre,,
"Pseudo-Undead, Pseudovampire",Creature Catalogue,Template,,Template,,Pseudo-Undead,Vampire,,
"Pseudo-Undead, Pseudowight",Creature Catalogue,Template,,Template,,Pseudo-Undead,Wight,,
"Pseudo-Undead, Pseudowraith",Creature Catalogue,Template,,Template,,Pseudo-Undead,Wraith,,
Rock Totem,Creature Catalogue,Template,,Template,,Totem,Rock,,
Semilich,Creature Catalogue,Template,,Template,,Lich,Semilich,,
Skelter (Template),Creature Catalogue,Template,,Template,Augmented,Skelter,,,
Vagabond Vessel,Creature Catalogue,Template,,Template,,Vagabond Vessel,,,
Voracious Creature,Creature Catalogue,Template,,Template,,Ravenous,Oerth,,
Web-Spectre,Creature Catalogue,Template,,Template,,Web-Spectre,,,
Wraith-King,Creature Catalogue,Template,,Template,,Wraith-King,,,
Wyrd,Creature Catalogue,Template,,Template,,Wyrd,,,
Zombire (Template),Creature Catalogue,Template,,Template,Augmented,Zombire,,,
Mechanical Lich,Creature Codex,Template,,Template,,Lich,Mechanical,,
Elephantine Creature,Dangerous Denizens: The Monsters of Tellene,Template,,Template,,Elephantine,,,
Greater Sharjan,Dangerous Denizens: The Monsters of Tellene,Template,,Template,,Sharjan,Greater,,
Least Sharjan,Dangerous Denizens: The Monsters of Tellene,Template,,Template,,Sharjan,Least,,
Lesser Sharjan,Dangerous Denizens: The Monsters of Tellene,Template,,Template,,Sharjan,Lesser,,
Rhajghani Pseudo-Ghoul,Dangerous Denizens: The Monsters of Tellene,Template,,Template,,Rhajghani Pseudo-Ghoul,,,
Sharjan Lord,Dangerous Denizens: The Monsters of Tellene,Template,,Template,,Sharjan,Lord,,
Greater Mummy,Deities and Demigods + D&D v.3.5 Accessory Update,Template,,Template,,Mummy,Greater,(template),
Dead,Denizens of Dread,Template,,Template,Augmented,Mummy,Ancient Dead,,
Animator,Denizens of Dread,Template,,Template,,Animator,,,
Dhampir (Half-Vampire),Denizens of Dread,Template,,Template,,Dhampir,,,
Ermordenung,Denizens of Dread,Template,,Template,,Ermordenung,,,
"Fiend, Dread, Transposed Fiend",Denizens of Dread,Template,,Template,,Transposed Fiend,,,
Geist,Denizens of Dread,Template,,Template,,Geist,,,
Ghost,Denizens of Dread,Template,,Template,"Augmented, Incorporeal",Ghost,Dread,,
Ghoul Lord,Denizens of Dread,Template,,Template,,Ghoul Lord,,,
"Hag, Spectral",Denizens of Dread,Template,,Template,,Hag,Spectral,,
Lebendtod,Denizens of Dread,Template,,Template,,Lebendtod,,,
"Lich, Elemental",Denizens of Dread,Template,,Template,Augmented,Lich,Elemental,,
Living Tattoo,Denizens of Dread,Template,,Template,,Living Tattoo,,,
Mist Horror,Denizens of Dread,Template,,Template,,Mist Horror,,,
"Vampire Strain, Chiang-shi",Denizens of Dread,Template,,Template,,Vampire,Chiang-shi,,
"Vampire Strain, Dwarven Vampire",Denizens of Dread,Template,,Template,,Vampire,Dwarven,,
"Vampire Strain, Elven Vampire",Denizens of Dread,Template,,Template,,Vampire,Elven,,
"Vampire Strain, Gnomish Vampire",Denizens of Dread,Template,,Template,,Vampire,Gnomish,,
"Vampire Strain, Halfling Vampire",Denizens of Dread,Template,,Template,,Vampire,Halfling,,
"Vampire Strain, Nosferatu",Denizens of Dread,Template,,Template,,Vampire,Nosferatu,Dread,
"Vampire Strain, Vrykolaka",Denizens of Dread,Template,,Template,,Vampire,Vrykolaka,Dread,
Vorlog,Denizens of Dread,Template,,Template,,Vorlog,,,
Zombie Lord,Denizens of Dread,Template,,Template,,Zombie Lord,,,
Archomental,Denizens of the Inner Planes,Template,,Template,,Archomental,,,
Element Creature,Denizens of the Inner Planes,Template,,Template,,Animental,,,
Elemental of Chaos,Denizens of the Inner Planes,Template,,Template,,Elemental of Chaos,,,
Elemental of Law,Denizens of the Inner Planes,Template,,Template,,Elemental of Law,,,
Astral Creature,Denizens of the Transitive Planes,Template,,Template,,Astral Creature,,,
Ether Creature,Denizens of the Transitive Planes,Template,,Template,,Ether,,,
Ur-Histachii,Draconic Hybrids and Other Reptilian Monstrousities,Template,,Template,,Ur-Histachii,,,
Dracolich,Draconomicon: The Book of Dragons,Template,,Template,,Dracolich,,,
Draconic Creature,Draconomicon: The Book of Dragons,Template,,Template,,Draconic,,,
Ghostly Dragon,Draconomicon: The Book of Dragons,Template,,Template,Incorporeal,Ghostly Dragon,,,
Skeletal Dragon,Draconomicon: The Book of Dragons,Template,,Template,,Skeleton,Skeletal Dragon,,
Vampiric Dragon,Draconomicon: The Book of Dragons,Template,,Template,,Vampiric Dragon,,,
Zombie Dragon,Draconomicon: The Book of Dragons,Template,,Template,,Zombie,Dragon,,
Elder Serpent,Dragon #313,Template,,Template,,Snake,Elder Serpent,,
Gheden,Dragon #313,Template,,Template,,Half-Undead,Gheden,,
Half-Doppelganger,Dragon #313,Template,,Template,,Half-Doppelganger,,,
Half-Jann,Dragon #313,Template,,Template,,Half-Janni,,,
Half-Minotaur,Dragon #313,Template,,Template,,Half-Minotaur,,,
Half-Nymph,Dragon #313,Template,,Template,,Half-Nymph,,,
Half-Rakshasa,Dragon #313,Template,,Template,,Half-Rakshasa,,,
Half-Satyr,Dragon #313,Template,,Template,,Half-Satyr,,,
Katane (Half-Vampire),Dragon #313,Template,,Template,,Half-Undead,Katane,,
Nameless Dragon,Dragon #313,Template,,Template,,Nameless Dragon,,,
Ravening Dragon,Dragon #313,Template,,Template,,Ravening Dragon,,,
Riddled Dragon,Dragon #313,Template,,Template,,Riddled Dragon,,,
Spellhoarding Dragon,Dragon #313,Template,,Template,,Spellhoarding Dragon,,,
Wandering Dragon,Dragon #313,Template,,Template,,Wandering Dragon,,,
Fire-Souled Creature,Dragon #314,Template,,Template,Fire,Fire-Souled,,,
Afflicted,Dragon #315,Template,,Template,,Afflicted,,,
Fleshvigor,Dragon #315,Template,,Template,,Fleshvigor,,,
Ka-Tainted,Dragon #315,Template,,Template,,Ka-Tainted,,,
T'liz,Dragon #315,Template,,Template,,T'liz,,,
Ravenous,Dragon #319,Template,,Template,,Ravenous,,,
"Archdragon, Chaotic",Dragon #321,Template,,Template,,Archdragon,Chaotic,,
"Archdragon, Evil",Dragon #321,Template,,Template,,Archdragon,Evil,,
"Archdragon, Good",Dragon #321,Template,,Template,,Archdragon,Good,,
"Archdragon, Lawful",Dragon #321,Template,,Template,,Archdragon,Lawful,,
Radiant,Dragon #321,Template,,Template,Native,Radiant,,,
Nether Hound,Dragon #322,Template,,Template,,Nether Hound,,,
Favored Spawn of Kyuss,Dragon #336,Template,,Template,,Spawn of Kyuss,Favoured,,
Animus,Dragon #339,Template,,Template,,Animus,,,
"Lich, Suel",Dragon #339,Template,,Template,,Lich,Suel,,
Cauldron Spawn,Dragon #340,Template,,Template,,Cauldron Spawn,,,
Ice Element Creature,Dragon #347,Template,,Template,"Air, Cold, Water",Element,Ice,,
Magma Element Creature,Dragon #347,Template,,Template,"Earth, Fire",Element,Magma,,
Ooze Element Creature,Dragon #347,Template,,Template,"Earth, Water",Element,Ooze,,
Smoke Element Creature,Dragon #347,Template,,Template,"Air, Fire",Element,Smoke,,
Savage Vampire,Dragon #348,Template,,Template,Augmented,Vampire,Savage,,
Shadow Vampire,Dragon #348,Template,,Template,Augmented,Vampire,Shadow,,
Terror Vampire,Dragon #348,Template,,Template,Augmented,Vampire,Terror,,
Arcane-Blood Creature,Dragon #350,Template,,Template,,Arcane-Blood,,,
Corrupted Creature,Dragon #350,Template,,Template,,Corrupted,,,
Poisonous Creature,Dragon #350,Template,,Template,,Poisonous,,,
Stonebone Creature,Dragon #350,Template,,Template,,Stonebone,,,
Remade,Dragon #352,Template,,Template,,Remade,,,
Bodak Creature,"Dragon Compendium, Volume 1",Template,,Template,,Bodak,(Template),,
Demonically Fused,"Dragon Compendium, Volume 1",Template,,Template,,Elemental,Demonically Fused,,
Ghastly Creature,"Dragon Compendium, Volume 1",Template,,Template,,Ghastly,,,
Ghoulish Creature,"Dragon Compendium, Volume 1",Template,,Template,,Ghoulish,,,
Seelie Court Fey,"Dragon Compendium, Volume 1",Template,,Template,,Seelie Court Fey,,,
Trap Haunt,"Dragon Compendium, Volume 1",Template,,Template,Incorporeal,Trap Haunt,,,
Unseelie Fey,"Dragon Compendium, Volume 1",Template,,Template,,Unseelie Fey,,,
Death Knight of Krynn,Dragonlance Campaign Setting,Template,,Template,,Death Knight,Krynnish,,
Dragonspawn,Dragonlance Campaign Setting,Template,,Template,,Dragonspawn,Krynnish,,
Skeletal Warrior,Dragonlance Campaign Setting,Template,,Template,,Skeleton,Skeletal Warrior,Krynnish,
Spectral Minion,Dragonlance Campaign Setting,Template,,Template,,Spectral Minion,Krynnish,,
Kender Vampire,Dragonlance Nexus Bestiary,Template,,Template,,Vampire,Kender,,
Spectral Creature,Dragons of Faerûn,Template,,Template,,Spectral,,,
"Zombie, Badna",Dregoth Ascending Part II: The Quest,Template,,Template,,Zombie,Badna,,
Husk Vermin,Drow of the Underdark,Template,,Template,,Husk Vermin,,,
Kr'y'izoth,Dungeon #100,Template,,Template,,Githyanki,Kr'y'izoth,,
Tl'a'ikith,Dungeon #100,Template,,Template,Incorporeal,Githyanki,Tl'a'ikith,,
Shadow Creature,Dungeon #103,Template,,Template,,Shadow,,,
Drowned One,Dungeon #106,Template,,Template,,Drowned One,,,
Dreamstealer Spawn,Dungeon #106 [Polyhedron #165],Template,,Template,Incorporeal,Dreamstealer Spawn,,,
Sign of the Smoking Eye,Dungeon #107,Template,,Template,,Sign of the Smoking Eye,,,
Athasian Zombie,Dungeon #110,Template,,Template,,Zombie,Athasian,,
"Tarterian Creature, Farastu Demodand Spirit",Dungeon #111,Template,,Template,,Tarterian,Farastu Demodand Spirit,,
"Tarterian Creature, Kelubar Demodand Spirit",Dungeon #111,Template,,Template,,Tarterian,Kelubar Demodand Spirit,,
"Tarterian Creature, Shator Demodand Spirit",Dungeon #111,Template,,Template,,Tarterian,Shator Demodand Spirit,,
Maurid,Dungeon #112,Template,,Template,,Maurid,,,
Lichfiend,Dungeon #116,Template,,Template,,Lich,Lichfiend,,
Memelith,Dungeon #117,Template,,Template,Augmented Humanoid,Memelith,,,
Hiveblood Creature,Dungeon #127,Template,,Template,Augmented,Hiveblood,,,
Blacktooth Lycanthropy,Dungeon #129,Template,,Template,,Lycanthrope,Blacktooth,,
Chosen of Malar,Dungeon #129,Template,,Template,,Chosen of Malar,,,
Obah-Blessed Creature,Dungeon #136,Template,,Template,,Obah-Blessed,,,
Scorned Creature,Dungeon #136,Template,,Template,,Scorned,,,
Savage Creature,Dungeon #140,Template,,Template,Chaotic,Savage,,,
Mirrored Creature,Dungeon #143,Template,,Template,,Mirrored,,,
Mob,Dungeon Master's Guide II,Template,Gargantuan,Template,,Mob,,,
Acidborn Monster,Dungeonscape,Template,,Template,,Acidborn,,,
Dungeonbred Monster,Dungeonscape,Template,,Template,,Dungeonbred,,,
Guardian Monster,Dungeonscape,Template,,Template,,Guardian,(Template),,
Hivenest Monster,Dungeonscape,Template,,Template,,Hivenest,,,
Sentry Ooze,Dungeonscape,Template,,Template,,Sentry,,,
Horrid Animal,Eberron Campaign Setting,Template,,Template,,Horrid Animal,,,
Living Spell,Eberron Campaign Setting,Template,,Template,,Living Spell,,,
Magebred Animal,Eberron Campaign Setting,Template,,Template,,Magebred Animal,,,
Brood Spawn,Elder Evils,Template,,Template,Native,Brood Spawn,,,
Demilich,Epic Level Handbook + D&D v.3.5 Accessory Update,Template,,Template,,Lich,Demilich,,
Paragon Creature,Epic Level Handbook + D&D v.3.5 Accessory Update,Template,,Template,,Paragon,,,
Phrenic Creature,Expanded Psionics Handbook,Template,,Template,Psionic,Phrenic,,,
Corrupted by the Abyss,Expedition to the Demonweb Pits,Template,,Template,,Corrupted by the Abyss,,,
Mountain Creature,Faces of the Forgotten North,Template,,Template,,Mountain Creature,,,
Psionic Tenant,Faces of the Forgotten North,Template,,Template,,Psionic Tenant,,,
Stampede,Faces of the Forgotten North,Template,,Template,,Stampede,,,
Zin-Carla,Faiths and Pantheons,Template,,Template,Augmented,Zin-Carla,,,
Half-Illithid,Fiend Folio,Template,,Template,,Half-Illithid,,,
Half-Troll,Fiend Folio,Template,,Template,,Half-Troll,,,
Ti-Khana,Fiend Folio,Template,,Template,,Ti-Khana,,,
Half-Fey,Fiend Folio + D&D v.3.5 Accessory Update,Template,,Template,,Half-Fey,,,
Huecuva,Fiend Folio + D&D v.3.5 Accessory Update,Template,,Template,,Huecuva,,,
Swordwraith,Fiend Folio + D&D v.3.5 Accessory Update,Template,,Template,,Wraith,Sword,,
Madborn,Five Nations,Template,,Template,,Madborn,,,
Mistling,Forge of War,Template,,Template,,Mistling,,,
Shade,Forgotten Realms Campaign Setting,Template,,Template,,Shade,,,
Bainligor Revered One,Frilond Campaign,Template,,Template,Augmented,Bainligor,Revered One,,
Charuntes,Frilond Campaign,Template,,Template,,Charuntes,,,
Horseman of Orcus,Frilond Campaign,Template,,Template,Extraplanar,Horseman of Orcus,,,
Skotos,Frilond Campaign,Template,,Template,,Skotos,,,
True Ghoul,Frilond Campaign,Template,,Template,Augmented,Ghoul,True,,
"Ghost, Frostfell",Frostburn,Template,,Template,Incorporeal,Ghost,Frostfell,,
Ice Beast,Frostburn,Template,,Template,Cold,Ice Beast,,,
Spirit Animal,Frostburn,Template,,Template,"Augmented Animal, Incorporeal",Spirit Animal,,,
Bonesinger,Ghostwalk + Ghostwalk Update for D&D v.3.5,Template,,Template,,Bonesinger,,,
