Name,Source,Size,Type,Subtypes,Environment,CR,Classify 1,Classify 2,Classify 3,Classify 4
"Abomination, Chichimec",Epic Level Handbook,Medium,Outsider,Air,Any,21,Abomination,Chichimec,,
"Abomination, Dream Larva",Epic Level Handbook,Large,Outsider,Chaotic,Any,31,Abomination,Dream Larva,,
"Abomination, Hecatoncheires",Epic Level Handbook,Huge,Outsider,Evil,Any,57,Abomination,Hecatoncheires,,
"Abomination, Infernal",Epic Level Handbook,Large,Outsider,"Evil, Chaotic or Lawful",Any,26,Abomination,Infernal,,
"Abomination, Phaethon",Epic Level Handbook,Gargantuan,Outsider,Fire,Any,34,Abomination,Phaethon,,
"Abomination, Phane",Epic Level Handbook,Large,Outsider,"Chaotic, Incorporeal",Any land and underground,25,Abomination,Phane,,
"Abomination, Xixecal",Epic Level Handbook,Colossal,Outsider,Cold,Any,36,Abomination,Xixecal,,
Abrian,Creature Catalogue,Medium,Outsider,"Chaotic, Evil",Any land,1,Abrian,,,
Abyssal Ant Swarm,Fiend Folio,Medium,Aberration,"Extraplanar, Swarm",Any land and underground (Abyss),16,Ant,Abyssal,Swarm,
Abyssal Dire Rat,Monster Manual,Small,Magical Beast,,Any land and underground,,Rat,Dire,Abyssal,
Abyssal Eviscerator,Battle Sheets!,Medium,Outsider,"Chaotic, Evil",,4,Demon,Abyssal Eviscerator,,
Abyssal Ghoul,City of the Spider Queen,Medium,Undead,,Any land and underground,10,Ghoul,Abyssal,,
Abyssal Maw,Dragon #289,Medium,Outsider,,Any land and underground,2,Demon,Abyssal Maw,,
Abyssal Ravager,Battle Sheets!,Large,Outsider,"Chaotic, Evil",,3,Demon,Abyssal Ravager,,
Abyssal Skulker,Battle Sheets!,Small,Outsider,"Chaotic, Evil",,2,Demon,Abyssal Skulker,,
Achaierai,Monster Manual,Large,Outsider,"Evil, Lawful",Any land and underground,5,Achaierai,,,
Achunga,Book of Shadows,Medium,Humanoid,,"Warm desert, hills, mountains and underground",1/2,Achunga,,,
Acid Beast,Diablo II: Diablerie,Medium,Magical Beast,,,2,Acid Beast,,,
"Acid Beast, Lava Maw",Diablo II: Diablerie,Medium,Magical Beast,,,6,Acid Beast,Lava Maw,,
"Acid Beast, Pit Beast",Diablo II: Diablerie,Medium,Magical Beast,,,4,Acid Beast,Pit Beast,,
"Acid Beast, Poison Spitter",Diablo II: Diablerie,Medium,Magical Beast,,,3,Acid Beast,Poison Spitter,,
Actaeon,Vaults of Pandius,Large,Monstrous Humanoid,,Temperate forests,6,Actaeon,,,
Adamantine Clockwork Horror,Monster Manual II,Small,Construct,,Any land and underground,9,Clockwork Horror,Adamantine,,
Adamantine Golem,Epic Level Handbook,Huge,Construct,,Any land,25,Golem,Adamantine,,
Adamantite Dragon,Creature Catalogue,Colossal,Dragon,"Good, Fire",Any land,19,Dragon,Planar,Adamantine,Adult
"Adamantite Dragon, Ancient",Creature Catalogue,Colossal,Dragon,"Good, Fire",Any land,26,Dragon,Planar,Adamantine,Ancient
"Adamantite Dragon, Great Wyrm",Creature Catalogue,Colossal,Dragon,"Good, Fire",Any land,31,Dragon,Planar,Adamantine,Great Wyrm
"Adamantite Dragon, Juvenile",Creature Catalogue,Gargantuan,Dragon,"Good, Fire",Any land,14,Dragon,Planar,Adamantine,Juvenile
"Adamantite Dragon,  Adult",Creature Catalogue,Colossal,Dragon,"Good, Fire",Any land,20,Dragon,Planar,Adamantine, Adult
"Adamantite Dragon, Old",Creature Catalogue,Colossal,Dragon,"Good, Fire",Any land,22,Dragon,Planar,Adamantine,Old
"Adamantite Dragon, Very Old",Creature Catalogue,Colossal,Dragon,"Good, Fire",Any land,23,Dragon,Planar,Adamantine,Very Old
"Adamantite Dragon, Very ",Creature Catalogue,Huge,Dragon,"Good, Fire",Any land,9,Dragon,Planar,Adamantine,Very 
"Adamantite Dragon, Wyrm",Creature Catalogue,Colossal,Dragon,"Good, Fire",Any land,29,Dragon,Planar,Adamantine,Wyrm
"Adamantite Dragon, Wyrmling",Creature Catalogue,Large,Dragon,"Good, Fire",Any land,6,Dragon,Planar,Adamantine,Wyrmling
"Adamantite Dragon, ",Creature Catalogue,Gargantuan,Dragon,"Good, Fire",Any land,12,Dragon,Planar,Adamantine,
"Adamantite Dragon,  Adult",Creature Catalogue,Gargantuan,Dragon,"Good, Fire",Any land,17,Dragon,Planar,Adamantine, Adult
Adder,Root of All Evil,Small,Animal,,,1/2,Snake,Adder,,
Adherer,Creature Catalogue,Medium,Aberration,,Any land and underground,3,Adherer,,,
Arrowhawk,Monster Manual,Medium,Outsider,Air,Any land and underground,5,Arrowhawk,Adult,,
Neogi,Monster Manual II,Small,Aberration,,Any temprate or warm land and underground,4,Neogi,Adult,,
Tojanida,Monster Manual,Medium,Outsider,Water,Any aquatic and underground,5,Tojanida,Adult,,
Aelfborn,Dragon #307,Medium,Humanoid,Elf,,,Aelfborn,,,
Aerial Servant,Creature Catalogue,Medium,Elemental,Air,Any land and underground,12,Aerial Servant,,,
Afanc,Creature Catalogue,Gargantuan,Beast,Aquatic,Warm aquatic,14,Afanc,,,
Agarat,Vaults of Pandius,Medium,Undead,,"Any land, underground",5,Agarat,,,
Ahuizotl,Fiend Folio,Large,Aberration,Aquatic,Any warm freshwater,6,Ahuizotl,,,
Air Demon,Dragon #306,Medium,Outsider,"Air, Chaotic, Evil",Any land and underground,4,Demon,Elemental,Air,
Air Element,Dragon #307,,Template,Air,Any land and underground,0 to 2,Element,Air,,
Air Element Creature,Manual of the Planes,,Template,Air,Any land and underground,,Element,Air,,
Air Element Squid,Manual of the Planes,Medium,Elemental,Air,Any land and underground,1,Element,Air,Squid,
"Air Elemental, Elder",Monster Manual,Huge,Elemental,Air,Any land and underground,11,Elemental,Air,Elder,
"Air Elemental, Greater",Monster Manual,Huge,Elemental,Air,Any land and underground,9,Elemental,Air,Greater,
"Air Elemental, Huge",Monster Manual,Huge,Elemental,Air,Any land and underground,7,Elemental,Air,Huge,
"Air Elemental, Large",Monster Manual,Large,Elemental,Air,Any land and underground,5,Elemental,Air,Large,
"Air Elemental, Medium",Monster Manual,Medium,Elemental,Air,Any land and underground,3,Elemental,Air,Medium,
"Air Elemental, Primal",Epic Level Handbook,Colossal,Elemental,Air,Any land,35,Elemental,Air,Primal,
"Air Elemental, Small",Monster Manual,Small,Elemental,Air,Any land and underground,1,Elemental,Air,Small,
Air Genasi,Dragon #293,Medium,Outsider,,,,Genasi,Air,,
Air Mephit,Monster Manual,Small,Outsider,Air,Any land and underground,3,Mephit,Air,,
Air Sentinel,Creature Catalogue,Medium,Elemental,"Air, Chaotic, Good",Any land,4,Air Sentinel,,,
Akikage,Oriental Adventures,,Undead,Spirit,,,Akikage,,,
Akikage (Shadow Assassin),Denizens of Darkness,Medium,Undead,Incorporeal,Any land and underground,7,Akikage,,,
Akuma no Oni,Oriental Adventures,Large,Outsider,"Evil, Shadowlands",Shadowlands,13,Oni,Shadowlands,Akuma no Oni,
Al-mi'raj,Creature Catalogue,Small,Magical Beast,,Any temperate land,1,Al-mi'raj,,,
Alaghi,Monsters of Faerûn,Medium,Monstrous Humanoid,,Temperate mountains and forest,4,Alaghi,,,
"Alastor ""the Grim"" (Executioner of Hell)",Creature Catalogue,Huge,Outsider,"Evil, Lawful",Any land and underground,23,Devil,Archdevil,Alastor,
Albari,Monsters of the Void,Small,Magical Beast,,"Wildspace, the Phlogiston",1,Albari,,,
Albatross,"Bestiary of the Realms, Volume 1",Medium,Animal,,Any aquatic,1/2,Albatross,,,
"Alchemical Child, Enlightened",Van Richten's Arsenal: Volume I,,Template,,Any land and underground,1,Alchemical Child,Enlightened,,
"Alchemical Child, Philosophical",Van Richten's Arsenal: Volume I,,Template,,Any land and underground,0,Alchemical Child,Philosophical,,
Alchemical Golem,Dragon #302,Large,Construct,,Any,10,Golem,Alchemical,,
Aleax,Creature Catalogue,,Template,,Any,3,Aleax,,,
Algoid,Creature Catalogue,Medium,Plant,,"Temperate and warm forest, marsh, and underground",4,Algoid,,,
Alguduir,Creature Catalogue,Medium,Magical Beast,Aquatic,Any marsh,2,Alguduir,,,
Alhoon (Illithilich),Monsters of Faerûn,,Undead,,,,Lich,Alhoon,,
Alias Vessel,"Bestiary of the Realms, Volume 1",,Template,,Any land,1,Alias Vessel,,,
"Alias, Human Alias Vessel","Bestiary of the Realms, Volume 1",Medium,Humanoid,Human,Any land (eastern Heartlands),11,Human,Alias Vessel,Alias,
Allip,Monster Manual,Medium,Undead,Incorporeal,Any land and underground,3,Allip,,,
Allosaurus,Vaults of Pandius,Huge,Beast,,Any prehistoric except desert,6,Dinosaur,Allosaurus,,
Allura,Monsters of the Void,Medium,Shapechanger,,Any,4,Allura,,,
Alu-Demon (Demon),Creature Catalogue,Medium,Outsider,Evil,Any land and underground,5,Demon,Tanar'ri,Alu-demon,
Amarthuldra,Celebrity Game Table,Medium,Magical Beast,,Any land,6,Amarthuldra,,,
Ambush Bug,Garden of the Plantmaster,Small,Vermin,,Temperate and warm forest and underground,1/2,Ambush Bug,,,
Amedian Gutworm,Living Greyhawk Journal #3,Medium,Vermin,,Temperate and warm forest and marsh,2,Amedian Gutworm,Adult,,
"Amedian Gutworm, Larva",Living Greyhawk Journal #3,Small,Vermin,,Temperate and warm forest and marsh,1/2,Amedian Gutworm,Larva,,
Amethyst Dragon,Monster Manual II,Huge,Dragon,Earth,"Inner Planes, underground",14,Dragon,Gem,Amethyst,Adult
"Amethyst Dragon, Ancient",Monster Manual II,Gargantuan,Dragon,Earth,"Inner Planes, underground",21,Dragon,Gem,Amethyst,Ancient
"Amethyst Dragon, Great Wyrm",Monster Manual II,Gargantuan,Dragon,Earth,"Inner Planes, underground",25,Dragon,Gem,Amethyst,Great Wyrm
"Amethyst Dragon, Juvenile",Monster Manual II,Large,Dragon,Earth,"Inner Planes, underground",8,Dragon,Gem,Amethyst,Juvenile
"Amethyst Dragon,  Adult",Monster Manual II,Huge,Dragon,Earth,"Inner Planes, underground",16,Dragon,Gem,Amethyst, Adult
"Amethyst Dragon, Old",Monster Manual II,Huge,Dragon,Earth,"Inner Planes, underground",18,Dragon,Gem,Amethyst,Old
"Amethyst Dragon, Very Old",Monster Manual II,Huge,Dragon,Earth,"Inner Planes, underground",19,Dragon,Gem,Amethyst,Very Old
"Amethyst Dragon, Very ",Monster Manual II,Medium,Dragon,Earth,"Inner Planes, underground",4,Dragon,Gem,Amethyst,Very 
"Amethyst Dragon, Wyrm",Monster Manual II,Gargantuan,Dragon,Earth,"Inner Planes, underground",23,Dragon,Gem,Amethyst,Wyrm
"Amethyst Dragon, Wyrmling",Monster Manual II,Small,Dragon,Earth,"Inner Planes, underground",3,Dragon,Gem,Amethyst,Wyrmling
"Amethyst Dragon, ",Monster Manual II,Medium,Dragon,Earth,"Inner Planes, underground",6,Dragon,Gem,Amethyst,
"Amethyst Dragon,  Adult",Monster Manual II,Large,Dragon,Earth,"Inner Planes, underground",11,Dragon,Gem,Amethyst, Adult
Ammut (Eater of the Damned),Inzeladun Third Edition: Al Qadim Monsters,Large,Magical Beast,,Any underground,4,Ammut,,,
Amnizu (Baatezu),Creature Catalogue,Medium,Outsider,,Any land and underground,7,Devil,Baatezu,Amnizu,
Amon,Yet More Archfiends (Book of Vile Darkness Web Enhancement,Huge,Outsider,"Evil, Lawful",,18,Devil,Archdevil,Amon,
Amon (Duke of Hell),Creature Catalogue,Large,Outsider,"Evil, Lawful",Any land and underground,23,Devil,Archdevil,Amon,
Amphisbaena,Tome of Horrors,Large,Beast,,Any land and underground,4,Snake,Amphisbaena,,
Anarchic Athach,Manual of the Planes,Huge,Aberration,,Any land and underground,9,Athach,Anarchic,,
Anarchic Creature,Manual of the Planes,,Template,,Any land and underground,,Anarchic Creature,,,
Ancient Chaos Beast,Dungeon #97,Large,Outsider,,,7,Chaos Beast,Ancient,,
Ancient Dead,Ravenloft Campaign Setting,,Undead,,,,Mummy,Ancient Dead,,
Ancient Gibbering Mouther,Dungeon #85,Large,Aberration,,,5,Gibbering Mouther,Ancient,,
Ancient Mariner,Monsters of the Void,Medium,Undead,,Phlogiston,5,Ancient Mariner,,,
Androsphinx,Monster Manual,Large,Magical Beast,,Any warm land,9,Sphinx,Androsphinx,,
Anhanga,Book of Shadows,Medium,Shapechanger,Incorporeal,"Warm deserts, hills and mountains",4,Anhanga,,,
Animal Lord,Creature Catalogue,,Template,,Any land and underground,12,Animal Lord,,,
"Animal Lord, Cat Lord",Tome of Horrors,Medium,Outsider,,Any land and underground,14,Animal Lord,Cat Lord,,
Animated Ballista,Dungeon #92,Large,Construct,,Any land and underground,9,Animated Object,Ballista,,
Animated Dagger,Dungeon #84,Tiny,Construct,,,1/2,Animated Object,Dagger,,
Animated Iron Chains,Dungeon #86,Medium,Construct,,,2,Animated Object,Iron Chains,,
Animated Mass of Chains,Dungeon #97,Large,Construct,,,3,Animated Object,Mass of Chains,,
Animated Object (Stone Spirit),Oriental Adventures,,,Spirit,,,Animated Object,Stone Spirit,,
"Animated Object, Colossal",Monster Manual,Colossal,Construct,,Any land and underground,10,Animated Object,Colossal,,
"Animated Object, Gargantuan",Monster Manual,Gargantuan,Construct,,Any land and underground,7,Animated Object,Gargantuan,,
"Animated Object, Huge",Monster Manual,Huge,Construct,,Any land and underground,5,Animated Object,Huge,,
"Animated Object, Large",Monster Manual,Large,Construct,,Any land and underground,3,Animated Object,Large,,
"Animated Object, Medium",Monster Manual,Medium,Construct,,Any land and underground,2,Animated Object,Medium,,
"Animated Object, Small",Monster Manual,Small,Construct,,Any land and underground,1,Animated Object,Small,,
"Animated Object, Tiny",Monster Manual,Tiny,Construct,,Any land and underground,1/2,Animated Object,Tiny,,
Animated Porphyry Statue,Dungeon #95,Large,Construct,,,3,Animated Object,Porphyry Statue,,
Animated Skeletal Arm,Dungeon #84,Medium,Construct,,,2,Animated Object,Skeletal Arm,,
Animated Suit of Armor,Dungeon #84,Medium,Construct,,,2,Animated Object,Suit or Armor,,
Animator,Denizens of Darkness,,Template,,Any land and underground,1,Animator,,,
Animus,Living Greyhawk Journal #2,,Template,,Any land,3,Animus,,,
Ankheg,Monster Manual,Large,Beast,,Temperate and warm plains,3,Ankheg,,,
Ankylosaurus,Vaults of Pandius,Huge,Beast,,"Prehistoric jungle, prehistoric hills",3,Dinosaur,Ankylosaurus,,
Annis,Monster Manual,Large,Monstrous Humanoid,,Any land and underground,6,Hag,Annis,,
Annis Hag,Savage Species,,Monstrous Humanoid,,,,Hag,Annis,,
Ant Lion,Creature Catalogue,Large,Vermin,,"Temperate and warm desert, forest, hill, plains, and underground",5,Ant Lion,Giant,,
"Anthraxus ""the Decayed"" (Oinoloth)",Creature Catalogue,Large,Outsider,Evil,Any land and underground,32,Yugoloth,Oinoloth,Anthraxus,
Anthromorphic Animal,Savage Species,,Template,,,-1 to 1,Anthromorphic,,,
Anuchu,Creature Catalogue,Medium,Humanoid,Anuchu,Temperate and warm forest,1/2,Anuchu,,,
Aoa Droplet,Fiend Folio,Medium,Outsider,Extraplanar,Any land and underground,3,Aoa,Droplet,,
Aoa Sphere,Fiend Folio,Huge,Outsider,Extraplanar,Any land and underground,15,Aoa,Sphere,,
Ape,Monster Manual,Large,Animal,,Warm forest and mountains,2,Ape,,,
Aperusa,Spelljammer: Beyond the Moons,Medium,Humanoid,Human,,,Human,Aperusa,,
Apparition,Creature Catalogue,Medium,Undead,Incorporeal,Any land and underground,7,Apparition,,,
Aquatic Elf,Monster Manual,Medium,Humanoid,Elf,Temperate aquatic,1/2,Elf,Aquatic,,
"Aquatic Ooze, Bloodbloater",Fiend Folio,Medium,Ooze,"Aquatic, Swarm",Any water,1,Bloodbloater,,,
"Aquatic Ooze, Flotsam Ooze",Fiend Folio,Medium,Ooze,Aquatic,"Any water, shoreline, or underground",2,Flotsam Ooze,,,
"Aquatic Ooze, Reekmurk",Fiend Folio,Huge,Ooze,Aquatic,Cold water,6,Reekmurk,,,
Arachnoid Creature,City of the Spider Queen,,Template,,Underground,1,Arachnoid Creature,,,
Aracholoth,Dragon #298,Medium,Aberration,,Any underground,3,Aracholoth,,,
Aranea,Monster Manual,Medium,Shapechanger,,Temperate and warm forest and underground,4,Aranea,,,
Aranea (Kumo),Oriental Adventures,,,,,,Aranea,Kumo,,
Aranea (Spider Demon),Oriental Adventures,,,Spirit,,,Aranea,Spider Demon,,
Arashaeem,Vaults of Pandius,Medium,Undead,"Extraplanar, Shapechanger",Tarterian Depths of Carceri,8,Arashaeem,,,
Arayashka (Snow Wraith),Denizens of Darkness,Medium,Undead,"Cold, Incorporeal",Any land (in blizzard conditions),5,Arayashka,,,
Arborror,Polyhedron #147,Huge,Plant,,Any land (except desert),5,Arborror,,,
Arcanaloth,Creature Catalogue,Medium,Outsider,Evil,Any land and underground,16,Yugoloth,Arcanaloth,,
Arcanist Varrangoin,Fiend Folio,Medium,Magical Beast,Extraplanar,Any land or underground (Abyss),11,Varrangoin,Arcanist,,
Archaeopteryx,Garden of the Plantmaster,Small,Animal,,"Warm forest, plains and marsh",1,Archaeopteryx,,,
Archer Bush,Creature Catalogue,,Plant,,,1,Archer Bush,,,
Arctic Cat,Psionic Bestiary: Arctic Cat,Medium,Magical Beast,,Cold mountains,3,Cat,Arctic,,
Arctic Dwarf,Monsters of Faerûn,Small,Humanoid,Dwarf,Cold mountains,1/2,Dwarf,Arctic,Faerûnian,
Argos,Monsters of the Void,Large,Aberration,,Any,5,Argos,,,
Arrow Battleloth,Dragon #306,Small,Outsider,Evil,Any land and underground,1,Yugoloth,Battleloth,Arrow,
Artaaglith (Demon),Ghostwalk,Medium,Outsider,"Chaotic, Evil",Any land and underground,6,Demon,Artaaglith,,
Asabi,Monsters of Faerûn,Medium,Monstrous Humanoid,,Temperate desert,1,Asabi,,,
"Asabi, Stingtail",Monsters of Faerûn,Large,Monstrous Humanoid,,Temperate desert,3,Asabi,Stingtail,,
Ascomoid,Creature Catalogue,Large,Plant,,Any underground,6,Fungus,Ascomoid,,
Ash Crawler,Vaults of Pandius,Small,Magical Beast,Fire,"Arid lands with fire, preferably in volcanic areas",2,Ash Crawler,,,
Ash Demon,Dragon #306,Medium,Outsider,"Chaotic, Evil, Fire",Any land and underground,4,Demon,Elemental,Ash,
Ash Rat,Monster Manual II,Small,Magical Beast,Fire,Any warm land,1,Rat,Ash,,
"Ashahina Yoriko, Crane Clan Denizen of Yomi",Fortunes & Winds,Medium,Humanoid,Spirit,Any land,8,Human,Denizen of Yomi,,
Ashalan,Creatures of Rokugan,Medium,Humanoid,Ashalan,"Any desert, underground, and temperate",1,Ashalan,,,
Ashi no Oni,Oriental Adventures,Large,Outsider,"Evil, Shadowlands",Shadowlands,9,Oni,Shadowlands,Ashi no Oni,
Ashura,Creatures of Rokugan,Large,Outsider,"Evil, Shadowlands",Deep Shadowlands and Yume-do,17,Ashura,,,
Asmodeus (Arch-Devil),Creature Catalogue,Large,Outsider,"Evil, Lawful",Any land and underground,37,Devil,Archdevil,Asmodeus,
"Asmodeus, Lord of the Ninth",Book of Vile Darkness,Large,Outsider,"Evil, Lawful",Any land and underground,32,Devil,Archdevil,Asmodeus,
Asperi,Monster Manual II,Large,Magical Beast,Cold,Any mountains,4,Asperi,,,
Asperii,Creature Catalogue,Large,Magical Beast,"Air, Cold",Cold and temperate mountains,3,Asperi,,,
"Aspis, Cow",Creature Catalogue,Large,Aberration,,Any underground,9,Aspis,Cow,,
"Aspis, Drone",Creature Catalogue,Medium,Monstrous Humanoid,,Any underground,4,Aspis,Drone,,
"Aspis, Larva",Creature Catalogue,Tiny,Vermin,,Any underground,3,Aspis,Larva,,
Asrai,Creature Catalogue,Tiny,Fey,"Extraplanar, Water","Temperate aquatic (River Oceanus, Ysgard, Arborea)",1/2,Asrai,,,
Assassin Bug,Creature Catalogue,Tiny,Vermin,,Temperate and warm marsh and underground,1/2,Assassin Bug,,,
"Assassin Bug, Giant",Denizens of Darkness,Large,Vermin,,Any hill and underground,2,Assassin Bug,Giant,,
Assassin Vine,Monster Manual,Large,Plant,,Temperate and warm forest and underground,3,Assassin Vine,,,
Astereater,Monsters of the Void,Large,Aberration,,Any space,6,Beholder,Astereater,,
Astral Deva (Celestial),Savage Species,Medium,Outsider,Good,,,Angel,Deva,Astral,
Astral Dreadnaught,Creature Catalogue,Gargantuan,Outsider,,Any land,17,Astral Dreadnought,,,
Astral Dreadnought,Manual of the Planes,Gargantuan,Outsider,,Any land and underground,17,Astral Dreadnought,,,
Astral Energy Monster,Creature Catalogue,Medium,Outsider,Incorporeal,Any land and underground,3,Aura Energy Monster,,,
Astral Monster,Aldriv's Revenge,Medium,Outsider,,,1,Astral Monster,,,
Astral Searcher,Creature Catalogue,Medium,Outsider,Incorporeal,Any land and underground,2,Astral Searcher,,,
Astrosphinx,Monsters of the Void,Large,Magical Beast,,Any,7,Sphinx,Astrosphinx,,
Asuras,Creature Catalogue,Medium,Outsider,"Chaotic, Good, Extraplanar",Any land and underground (Upper Planes),8,Asura,,,
Aswang,Book of Sacrifices,,Template,,Any land and underground,1,Aswang,Dread,,
"Aswang, Manananggal",Book of Sacrifices,,Template,,Any land and underground,1,Aswang,Dread,Manananggal,
Athach,Monster Manual,Huge,Aberration,,"Temperate and warm hills, mountains, and underground",7,Athach,,,
Atomie,Creature Catalogue,Tiny,Fey,,Temperate forest,1,Sprite,Atomie,,
Aughisky,"Bestiary of the Realms, Volume 1",Large,Magical beast,Aquatic,"Cold or temperate aquatic, plains, or marsh",4,Horse,Aughisky,,
Aurumvorax,"Aurumvorax, the ""Golden Gorger""",Small,Magical Beast,,Temperate hills and mountains,7,Aurumvorax,,,
Aurumvorax (Golden Gorger),Tome of Horrors,Small,Beast,,"Temperate plains, hills, and forest",8,Aurumvorax,,,
Autognome,Monsters of the Void,Small,Construct,,Any,5,Autognome,,,
"Automaton, Hammerer",Monster Manual II,Medium,Construct,,Any land and underground,3,Automaton,Hammerer,,
"Automaton, Pulverizer",Monster Manual II,Medium,Construct,,Any land and underground,3,Automaton,Pulverizer,,
Avariel (Winged Elf),Races of Faerûn,Medium,Humanoid,Elf,,,Elf,Avariel,,
Avatar of the Wolf God,Book of Sacrifices,Medium,Undead,,,6,Avatar of the Wolf God,,,
Average Ixitxachitl,Monster Manual II,Small,Aberration,Aquatic,Warm aquatic,1,Ixitxachitl,,,
Average Psurlon,Monster Manual II,Medium,Aberration,,Underground,5,Psurlon,Average,,
Average Salamander,Monster Manual,Medium,Outsider,Fire,Any land and underground,5,Salamander,Average,,
Average Xorn,Monster Manual,Medium,Outsider,Earth,Any land and underground,6,Xorn,Average,,
Avildar,Villain Design Handbook,,Template,,Any land and underground,3,Avildar,,,
