Name,Source,Size,Environment,CR,Classify 1,Classify 2,Classify 3
"Abishai, Red",Dungeon #29,Medium,The Nine Hells,,Devil,Baatezu,Abishai
"Baatezu, Lesser - Abishai, Red",Planescape Monstrous Compendium Appendix,Medium,Baator,,Devil,Baatezu,Abishai
"Baatezu, Lesser, Abishai, Red",Monstrous Compendium Outer Planes Appendix,Medium,The Nine Hells,,Devil,Baatezu,Abishai
"Baatezu, Red Abishai",Monstrous Manual,Medium,The Nine Hells,,Devil,Baatezu,Abishai
"Quiornim, Gold Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Gold
"Quagmiela, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Pyrosternia, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Poresche, Red Dragon",1991 Trading Cards Factory Set,Small,,,Dragon,Chromatic,Red
"Panndallor, Gold Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Gold
"Onyx, Black Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Black
Eormennoth,City of Ravens Bluff,Gargantuan,The treasury vault beneath Ravens Bluff,,Dragon,Metallic,Bronze
"Oceana, Blue Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Blue
"Ogre, Nzunta",Otherlands (DLR1),Medium,"Tropical and subtropical/Plains, forests, swamps, jungles, hills, and mountains",,Ogre,Krynnish,Irda
"Neirgral, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Neerga, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Horse, Nars",Horde Barbarian Campaign Setting,Large,Temperate,,Horse,Faerûnian,Heavy
Multi-Armed Derro Mutants,Dungeon #81,Medium,,,Dwarf,Derro,Mutant
Mixed-Blood Karameikan,Karameikos: Kingdom of Adventure [Explorer's Guide],,,,Human,Mystaran,Karameikan
"Ogre, Mischta",Otherlands (DLR1),Medium,"Tropical and subtropical/Plains, forests, jungles, hills, and mountains",,Ogre,Krynnish,Irda
"Mammal, Minimal, Mammoth",Monstrous Compendium Volume Two,,,,Elephant,Mammoth,Woolly
Master Spider,Under the Dark Fist (SJA4),Large,Space,,Spider,Vodoni Space,Spinner
"Marshana, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Tanar'ri, Lesser - Cambion, Major",Planescape Monstrous Compendium Appendix,Medium,The Abyss,,Demon,Tanar'ri,Cambion
"Tanar'ri, Lesser, Cambion, Major",Monstrous Compendium Outer Planes Appendix,Medium,The Abyss,,Demon,Tanar'ri,Cambion
"Magma, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Maelstrom, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Man (of Krynn), Plainsmen, Lor-Tai",Monstrous Compendium Dragonlance Appendix (MC4),,,,Human,Krynnish,Plainsman
"Horse, Raurin",Horde Barbarian Campaign Setting,Large,Arid,,Horse,Faerûnian,Warhorse
Illithid Leeches,Book of Sorrows,Tiny,,,Lich,Alhoon,Gothic Earth
"Diving Beetle, Giant, Larva",Dragon #250,Medium,Freshwater ponds and lakes,,Beetle,Diving,Giant
"Cat, Crypt, Large",Awakening,Small,Crypt/tomb,,Cat,Crypt,Dread
"Aquatic Lernaean Hydra, Lake Radruundar Monster",Axe of the Dwarvish Lords,Gargantuan,Lake Radruundar,,Hydra,Lernaean,Aquatic
"Man (of Krynn), Plainsmen, Lahutains",Monstrous Compendium Dragonlance Appendix (MC4),,,,Human,Krynnish,Plainsman
"Lycanthrope, Weretiger (Jahed)",Monstrous Compendium Ravenloft Appendix II: Children of the Night (MC15),Medium,Sri Raji,,Human,Lycanthrope,Weretiger
"Ancient Vrock, The Beast",Dungeon #25,,,,Demon,Tanar'ri,Vrock
"Inferno, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Ashaba Amphisbaena, Im",Elminster's Ecologies [The Settled Lands],Small,,,Snake,Amphisbaena,Ashaba
Huma's Silver Dragon,1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Silver
"Dragon, Hatchling Red",Complete Starter Set [Monstrous Manual],Huge,,,Dragon,Chromatic,Red
"Elven Forest Water Naga, Hatchling",Elminster's Ecologies [Cormanthor],Tiny,,,Naga,Water,Elven Forest
"Dragon, Tarnished (Grezanletyr)",Terrors from Above,Gargantuan,Arid and temperate hills and mountains,,Dragon,Metallic,Copper
"Abishai, Green",Dungeon #29,Large,The Nine Hells,,Devil,Baatezu,Abishai
"Baatezu, Green Abishai",Monstrous Manual,Large,The Nine Hells,,Devil,Baatezu,Abishai
"Baatezu, Lesser - Abishai, Green",Planescape Monstrous Compendium Appendix,Large,Baator,,Devil,Baatezu,Abishai
"Baatezu, Lesser, Abishai, Green",Monstrous Compendium Outer Planes Appendix,Large,The Nine Hells,,Devil,Baatezu,Abishai
"Gaumahavi, Greater Purple Dragon",Black Courser (FRA2),Gargantuan,"Subarctic desert, high mountains",,Dragon,Chromatic,Purple
"Genie, Noble Efreeti, Sultan of the Efreet",Monstrous Compendium Al-Qadim Appendix (MC13),,,,Genie,Efreeti,Noble
"Genie, Noble Marid, Great Padisha of the Marids",Monstrous Compendium Al-Qadim Appendix (MC13),,,,Genie,Marid,Noble
"Genie, Noble Dao, Great Khan of the Dao",Monstrous Compendium Al-Qadim Appendix (MC13),,,,Genie,Dao,Noble
"Grazaria, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Genie, Noble Djinni, Great Caliph of the Djinn",Monstrous Compendium Al-Qadim Appendix (MC13),,,,Genie,Djinni,Noble
"Glaze, White Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,White
"Giltarald, Gold Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Gold
"Bloodhawk, Foul Crow",Diablo II: The Awakening,Small,,,Hawk,Blood,Azeroth
"Flame, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
Derro With Eyestalks,Dungeon #81,Small,,,Dwarf,Derro,Mutant
Errtu,Villains' Lorebook,Huge,The Abyss,,Demon,Tanar'ri,Balor
Enchanted Traag Draconian,Dark Queen of Krynn [Adventurer's Journal],Medium,,,Draconian,Baaz,Traag
"Emerentia, Gold Dragon",1991 Trading Cards Factory Set,Huge,,,Dragon,Metallic,Gold
"Emerald, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Ember, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Cobra, Giant, Elder Giant Cobra",Assassin Mountain (ALQ2),,,,Snake,Cobra,Giant
"Snake, Elder Giant Cobra",Monstrous Compendium Annual Volume One,,,,Snake,Cobra,Giant
"Elven Forest Water Naga, Egg",Elminster's Ecologies [Cormanthor],Tiny,,,Naga,Water,Elven Forest
"Edomira, ""Red Watcher""",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
Illithid Drones,Book of Sorrows,Medium,,,Lich,Alhoon,Gothic Earth
"Dergard, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Dagaronzie, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Cyan Bloodbane, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Crimson, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Bloodhawk, Cloud Stalker",Diablo II: The Awakening,Small,,,Hawk,Blood,Azeroth
"Chlormordia, Green Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Green
"Changeling, Human (Child)",Blood Spawn,Small,Seelie Court,,Changeling,Cerilian,Human
"Cephus, Blue Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Blue
"Blizzard, White Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,White
Blink Wooly Mammoth,Dragon #156,Large,Subarctic plains,,Elephant,Mammoth,Woolly
"Blaze, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Bloodhawk, Black Raptor",Diablo II: The Awakening,Small,,,Hawk,Blood,Azeroth
"Abishai, Black",Dungeon #29,Large,The Nine Hells,,Devil,Baatezu,Abishai
"Baatezu, Black Abishai",Monstrous Manual,Large,The Nine Hells,,Devil,Baatezu,Abishai
"Baatezu, Lesser - Abishai, Black",Planescape Monstrous Compendium Appendix,Large,Baator,,Devil,Baatezu,Abishai
"Baatezu, Lesser, Abishai, Black",Monstrous Compendium Outer Planes Appendix,Large,The Nine Hells,,Devil,Baatezu,Abishai
"Bat, Bonebat, Battlebat",Monstrous Compendium Annual Volume Three,,,,Bat,Deep,Bonebat
"Bonebat, Battlebat",Forgotten Realms Campaign Setting (New Edition),,,,Bat,Deep,Bonebat
"Tanar'ri, Lesser - Cambion, Baron/Marquis",Planescape Monstrous Compendium Appendix,Medium,The Abyss,,Demon,Tanar'ri,Cambion
"Tanar'ri, Lesser, Cambion, Baron/Marquis",Monstrous Compendium Outer Planes Appendix,Medium,The Abyss,,Demon,Tanar'ri,Cambion
"Azurem, Blue Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Blue
"Avildar, Red Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Chromatic,Red
"Aurum, Gold Dragon",1991 Trading Cards Factory Set,Gargantuan,,,Dragon,Metallic,Gold
"Dragon, Ancient Copper",Complete Starter Set [Monstrous Manual],Gargantuan,,,Dragon,Metallic,Copper
"Changeling, Human (Adult)",Blood Spawn,Medium,Shadow World,,Changeling,Cerilian,Human
"Diving Beetle, Giant",Dragon #250,Medium,Freshwater ponds and lakes,,Beetle,Diving,Giant
"Elven Forest Water Naga, Adolescent",Elminster's Ecologies [Cormanthor],Large,,,Naga,Water,Elven Forest
"Virus, Combustion",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny (microscopic),Ravenloft,,Virus,Combustion,
"Virus, Crystal",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny (microscopic),Ravenloft,,Virus,Crystal,
"Virus, Petrification",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny (microscopic),Ravenloft,,Virus,Petrification,
"Virus, Phobia",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny (microscopic),Ravenloft,,Virus,Phobia,
"Virus, Psionic",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny (microscopic),Any,,Virus,Psionic,
"Virus, Shadow",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Tiny (microscopic),Any dark,,Virus,Shadow,
Monster of Legend,Planescape Monstrous Compendium Appendix II,Varies,Any,,Monster of Legend,,
Moonmelon,Dungeon #25,,,,Moon Creature,,
'Aggie',Castles Forlorn [The Weeping Land],Gargantuan,Special,,Undead Lake Serpent,,
'Wari,Tales of the Lance [World Book of Ansalon],Medium,Hills/plains,,Wari,,
"""Death Angel"" Stone Golems",Dungeon #70,Large,,,Golem,Stone,Death Angel
Aarakocra,1992 Trading Cards Factory Set,Medium,,,Aarakocra,,
"Aarakocra, Athasian",Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Medium,Deep desert,,Aarakocra,Athasian,
"Aarakocra, Malatran",Polyhedron #121,Medium,Tropical/Mountains and plains,,Aarakocra,Malatran,
Aartuk Warrior,1992 Trading Cards Factory Set,Medium,,,Aartuk,Warrior,
"Aartuk, Elder",Dungeon #71,Large,Any temperate or tropical land,,Aartuk,Elder,
"Aartuk, Warrior",Dungeon #71,Medium,Any temperate or tropical land,,Aartuk,Warrior,
Aasimar,Planescape Monstrous Compendium Appendix II,Medium,Any,,Aasimar,,
Aasimon - Agathinon,Planescape Monstrous Compendium Appendix,,Upper Planes,,Angel,Agathinon,
"Aasimon - Deva, Astral",Planescape Monstrous Compendium Appendix,Medium,Upper Planes,,Angel,Deva,Astral
"Aasimon - Deva, Monadic",Planescape Monstrous Compendium Appendix,Medium,Upper Planes,,Angel,Deva,Monadic
"Aasimon - Deva, Movanic",Planescape Monstrous Compendium Appendix,Medium,Upper Planes,,Angel,Deva,Movanic
Aasimon - Light,Planescape Monstrous Compendium Appendix,Small,Upper Planes,,Angel,Light,
Aasimon - Planetar,Planescape Monstrous Compendium Appendix,Large,Upper Planes,,Angel,Planetar,
Aasimon - Solar,Planescape Monstrous Compendium Appendix,Large,Upper Planes,,Angel,Solar,
"Aasimon, Agathinon",Monstrous Compendium Outer Planes Appendix,,Upper planes or prime,,Angel,Agathinon,
"Aasimon, Deva, Astral",Monstrous Compendium Outer Planes Appendix,Medium,Upper planes,,Angel,Deva,Astral
"Aasimon, Deva, Monadic",Monstrous Compendium Outer Planes Appendix,Medium,Upper planes,,Angel,Deva,Monadic
"Aasimon, Deva, Movanic",Monstrous Compendium Outer Planes Appendix,Medium,Upper planes,,Angel,Deva,Movanic
"Aasimon, Light",Monstrous Compendium Outer Planes Appendix,Small,Upper planes or prime,,Angel,Light,
"Aasimon, Planetar",Monstrous Compendium Outer Planes Appendix,Large,Upper planes,,Angel,Planetar,
"Aasimon, Solar",Monstrous Compendium Outer Planes Appendix,Large,Upper planes,,Angel,Solar,
Aballin,Forgotten Realms Campaign Setting (New Edition),Large,Temperate or tropical/Wilderness or subterranean,,Aballin,,
Aboleth,1991 Trading Cards Factory Set,Huge,,,Aboleth,,
"Aboleth, Savant",Monstrous Compendium Annual Volume Two,Huge,Subterranean,,Aboleth,Savant,
Abomination of Diirinka,Axe of the Dwarvish Lords,Huge,Subterranean,,Abomination of Diirinka,,
Abrian,Planescape Monstrous Compendium Appendix II,Medium,"Outlands, Lower Planes",,Abrian,,
Absalom (Unique Morg),City by the Silt Sea [Monstrous Supplement],Medium,New Giustenal,,Morg,Absalom,
Absorbing zombies,Dragon #234,Medium,Any,,Zombie,Absorbing,
Abyss ants,Dragon #193,Tiny,"Abyss or temperate forest, hills, or plains of the Prime Material plane",,Ant,Abyssal,Swarm
"Abyssal Lord, Graz'zt",Planes of Chaos [Monstrous Supplement],Large,Abyss,,Demon,Lord,Graz'zt
"Abyssal Lord, Pazrael",Planes of Chaos [Monstrous Supplement],Large,Abyss,,Demon,Lord,Pazuzu
Accursed Rug,"Encyclopedia Magica, Volume I",,,,Animated Object,Rug,
Achaierai,Monstrous Compendium Fiend Folio Appendix (MC14),Huge,Subterranean,,Achaierai,,
Acid Beast,Diablo II: The Awakening,Medium,,,Acid Beast,,
"Acid Beast, Lava Maw",Diablo II: The Awakening,Medium,,,Acid Beast,Lava Maw,
"Acid Beast, Pit Beast",Diablo II: The Awakening,Medium,,,Acid Beast,Pit Beast,
"Acid Beast, Poison Spitter",Diablo II: The Awakening,Medium,,,Acid Beast,Poison Spitter,
Acid Blob,Al-Qadim: The Genie's Curse [Rule Book],Small,Subterranean,,Acid Blob,,
Acid Pigeon,Dragon Annual #3,Small,Temperate urban,,Pigeon,Acid,
Acid zombies,Dragon #234,Medium,Any,,Zombie,Acid,
Actaeon,Mystara Monstrous Compendium Appendix,Large,Temperate forest,,Actaeon,,
Adamantite Dragon,1992 Trading Cards Factory Set,Gargantuan,,,Dragon,Planar,Adamantine
Addazahr,Monstrous Compendium Annual Volume Two,Tiny,"Tropical, subtropical, and temperate/Desert, hills, plains",,Addazahr,,
Addazahr (Backbiter),Corsairs of the Great Sea,Tiny,"Tropical, subtropical, and temperate/Desert, hills, and plains",,Addazahr,,
Adherer,1993 Trading Cards Factory Set,Medium,,,Adherer,,
Adolescent Sea Lion,Dungeon #79,Large,,,Sea Lion,Adolescent,
Advanced Lizard Men,Monstrous Manual,,,,Lizardfolk,Advanced,
Aerial Servant,1992 Trading Cards Factory Set,Large,,,Aerial Servant,,
Aeserpent,Planes of Conflict [Monstrous Supplement],Large,Beastlands,,Aeserpent,,
Afanc,Monstrous Compendium Annual Volume One,Gargantuan,Warm ocean waters,,Afanc,,
Afanc (Gawwar Samakat),City of Delights,Gargantuan,Ocean,,Afanc,,
"Afanc, ",Monstrous Compendium Annual Volume One,,,,Afanc,,
African Beholder,Dragon #215,,,,Beholder,African,
Agarat,Mystara Monstrous Compendium Appendix,Medium,Any land,,Agarat,,
"Agarat, Greater",Mystara Monstrous Compendium Appendix,,,,Agarat,Greater,
Agathinon,Warriors of Heaven,,,,Angel,Agathinon,
"Agnath, electric",Dragon #176,Small,Shallow ocean bottoms,,Agnath,Electric,
Agriotherium (savannah bear),Dragon #167,Large,Savannah,,Agriotherium,,
Agrutha,Dragon #268,Medium,Temperate swamp,,Lizardfolk,Agrutha,
Ahuizotl,Fires of Zatal (FMA1),Huge,Tropical and subtropical waters,,Ahuizotl,Maztican,
Air Elemental,1991 Trading Cards Factory Set,Large to Huge,,,Elemental,Air,
"Air Fish, Catfish",Polyhedron #69,Tiny,Humid,,Air Fish,Catfish,
"Air Fish, Goldfish",Polyhedron #69,Tiny,Humid,,Air Fish,Goldfish,
"Air Fish, Neon",Polyhedron #69,Tiny,Humid,,Air Fish,Neon,
"Air Fish, Piranha",Polyhedron #69,Tiny,Humid,,Air Fish,Piranha,
"Air Fish, Ray, sting",Polyhedron #69,Small,Humid,,Air Fish,"Ray, sting",
"Air Fish, Shark",Polyhedron #69,Medium,Humid,,Air Fish,Shark,
"Air Fish, Trout",Polyhedron #69,Tiny,Humid,,Air Fish,Trout,
Air Gen (Djinnling),1992 Trading Cards Factory Set,Tiny,,,Gen,Air,
Air Genasi,Planewalker's Handbook,,,,Genasi,Air,
Air Sentinel,Monstrous Compendium Outer Planes Appendix,Medium,Twin Paradises (Shurrock),,Air Sentinel,,
Akikage,Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,Medium,Rokushima,,Akikage,,
"Akikage, Ansasshia",Ravenloft Monstrous Compendium Appendix III: Creatures of Darkness,,,,Akikage,Ansasshia,
Al-Jahar,City of Delights,Medium,Urban,,Al-Jahar,,
Al-Jahar (Dazzle),Monstrous Compendium Annual Volume One,Medium,Warm urban areas,,Al-Jahar,,
Al-mi'raj,Monstrous Compendium Fiend Folio Appendix (MC14),Small,"Temperate forests, hills, and grasslands",,Al-mi'raj,,
Alaghi,Complete Book of Humanoids (PHBR10),,,,Alaghi,,
"Alaghi, Hermitic",Monstrous Compendium Annual Volume Three,,,,Alaghi,Hermitic,
"Alaghi, Sedentary",Monstrous Compendium Annual Volume Three,,,,Alaghi,Sedentary,
Albari,Monstrous Compendium Spelljammer Appendix,Small,Any,,Albari,,
Albino Crocodile,Dragon #238,Medium,Sewers,,Crocodile,Albino,
Alchemical Vampire,Book of Souls,Medium,Kislova,,Vampire,Alchemical,
Alchemy Plant,Monstrous Compendium Spelljammer Appendix II,Small,Any,,Alchemy Plant,,
Aleax,Planescape Campaign Setting [Monstrous Supplement],Medium,Outer Planes,,Aleax,,
Alec's Harpies,Book of Sorrows,Medium,Paridon,,Harpy,Alec's,
Algoid,Monstrous Compendium Fiend Folio Appendix (MC14),Medium,Temperate swamp,,Algoid,,
Alguduir,Monstrous Compendium Forgotten Realms Appendix (MC11),Medium,Marshes,,Alguduir,Adult,
"Alguduir, ",Monstrous Compendium Forgotten Realms Appendix (MC11),Small,Marshes,,Alguduir,,
Alhoon (Ilithilich) of Gothic Earth,Book of Sorrows,Medium,,,Lich,Alhoon,Gothic Earth
Alhoon (Illithilich),Menzoberranzan [Book One: The City],Medium,Any,,Lich,Alhoon,
Alhoon (Illithilichs),Illithiad,,,,Lich,Alhoon,
Alhoons,Illithiad,Medium,,,Lich,Alhoon,
Alicorn,Dragon #190,Large,Temperate/Woodlands,,Unicorn,Alicorn,
Allura,Monstrous Compendium Spelljammer Appendix II,Medium,Any,,Allura,,
Alothere,Player's Secrets of Talinie,Medium,,,Boar,Alothere,
Altraloths,Dragon Annual #2,,,,Yugoloth,Altraloth,
Alvenkin,Shadow Rift,,,,Changeling,Dread,Alvenkin
Ambuchar Devayam/Tan Chin,Blood Charge (FRA3),Medium,Any,,Ambuchar Devayam,,
Amethyst Dragons,Campaign Option: Council of Wyrms,,,,Dragon,Gem,Amethyst
Amiq Rasol,Corsairs of the Great Sea,Medium,Sea coast,,Amiq Rasol,,
Amiskwia,Dragon #204,Medium,Shallow sea floor,,Amiskwia,Giant,
"Ammonite, Golden",Monstrous Compendium Annual Volume Four,Large,Ocean depths,,Golden Ammonite,,
Ammut,1993 Trading Cards Factory Set,Large,,,Ammut,,
Amphi Dragons,Tales of the Lance [World Book of Ansalon],Huge,Temperate,,Dragon,Krynnish,Amphi
"Amphibian, Poisonous, Frog",Dragon #237,Tiny,Tropical forest,,Frog,Poisonous,
"Amphibian, Poisonous, Neotropical Toad",Dragon #237,Tiny to Small,Temperate/Tropical forests,,Toad,Neotropical,
Amphicyon (bear dog),Dragon #167,Medium,Temperate plains,,Amphicyon,,
Amphitere,Dragon #248,Large,Any temperate or tropical land,,Amphitere,,
"An-Ur, the Wandering Death",Dragon #260,Gargantuan,Ethereal Plane,,Dragon,An-Ur,
Anadjiin,Realmspace (SJR2),Large,Deserts of Anadia,,Anadjiin,,
Anancus (pike-tusked elephant),Dragon #167,Large,Temperate forests,,Elephant,Anancus,
Ancestors,Shaman,Medium,Any/Sacred Mountains,,Ancestor,,
Ancient Mariner,Monstrous Compendium Spelljammer Appendix,Medium,Phlogiston,,Ancient Mariner,,
Andeloid,Dragon #159,Variable,Any (as per hosts),,Andeloid,,
Andrewsarchus (giant long-jawed hyena),Dragon #167,Large,Temperate plains,,Andrewsarchus,,
"Anemone, Giant",Monstrous Compendium Dragonlance Appendix (MC4),Large,"Tropical, subtropical, and temperate/Salt water",,Anemone,Giant,
"Anemone, Giant Sea",Monstrous Compendium Annual Volume Four,Large,"Ocean depths, tropical coasts",,Anemone,Giant,
Angler Fish,Dragon #235,Large,Ocean depths,,Angler Fish,,
Angreden,Dragon #198,Medium,"Any, especially subarctic and subterranean",,Angreden,,
Anguiliian,Sea Devils,Medium,Temperate and tropical deep ocean,,Anguillian,,
"Animal Lord, Cat Lord",Monstrous Compendium Outer Planes Appendix,,Beastlands,,Animal Lord,Cat Lord,
"Animal Lord, Hawk Lord",Monstrous Compendium Outer Planes Appendix,,Beastlands,,Animal Lord,Hawk Lord,
"Animal Lord, Lizard Lord",Planescape Monstrous Compendium Appendix,,Beastlands,,Animal Lord,Lizard Lord,
"Animal Lord, Wolf Lord",Monstrous Compendium Outer Planes Appendix,,Beastlands,,Animal Lord,Wolf Lord,
"Animal, Domestic, Aprig",Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Small,Verdant belt,,Aprig,,
"Animal, Domestic, Carru",Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Large,Verdant belt,,Carru,,
"Animal, Domestic, Erdlu",Dark Sun Boxed Set [The Wanderer's Journal],Medium,Tablelands/Hinterlands,,Erdlu,,
"Animal, Domestic, Inix",Dark Sun Boxed Set [The Wanderer's Journal],Huge,Tablelands/Hinterlands,,Inix,,
"Animal, Domestic, Kank",Dark Sun Boxed Set [The Wanderer's Journal],Large,Tablelands/Hinterlands,,Kank,,
"Animal, Domestic, Mekillot",Dark Sun Boxed Set [The Wanderer's Journal],Gargantuan,Tablelands/Hinterlands,,Mekillot,,
"Animal, Domestic, Mulworm",Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Tiny,Verdant belt,,Mulworm,,
"Animal, Domestic, Sygra",Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr,Small,Verdant belt,,Sygra,,
"Animal, Herd, Antelope",Monstrous Compendium Volume One,Medium,Tropical and temperate plains,,Antelope,,
"Animal, Herd, Buffalo",Monstrous Compendium Volume One,Large,Tropical and temperate plains,,Bison,,
"Animal, Herd, Camel",Monstrous Compendium Volume One,Large,Any land,,Camel,,
"Animal, Herd, Cattle",Monstrous Compendium Volume One,Large,Any land,,Cattle,,
"Animal, Herd, Jankz",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Tiny,"Sandy wastes, stony barrens",,Jankz,,
"Animal, Herd, Kip",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Small,Scrub plains,,Kip,,
"Animal, Herd, Sheep",Monstrous Compendium Volume One,Medium,Any land,,Sheep,,
"Animal, Herd, Z'tal",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Small,Any,,Z'Tal,,
"Animal, Household, Critic",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Tiny,Any,,Lizard,Critic,
"Animal, Household, Hurrum",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Tiny,Any,,Hurrum,,
"Animal, Household, Ock'n",Monstrous Compendium Dark Sun Appendix: Terrors of the Desert,Tiny,Any,,Ock'n,,
