Name,Type,Family,Size,Source,Page #,Source Type,Ed.,CR,Notes
Bariaur,"Outsider (chaotic, extraplanar, good)",,Large,Book of Exalted Deeds,165,Supplement,3.5,3,
"Bariaur, defender of ysgard","Outsider (chaotic, extraplanar, good)",,Large,Book of Exalted Deeds,165,Supplement,3.5,9,
Crypt warden,Deathless,,Medium,Book of Exalted Deeds,167,Supplement,3.5,8,
"Eladrin, coure","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Tiny,Book of Exalted Deeds,168,Supplement,3.5,2,
"Eladrin, firre","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Medium,Book of Exalted Deeds,169,Supplement,3.5,10,
"Eladrin, shiradi","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Large,Book of Exalted Deeds,170,Supplement,3.5,14,
"Eladrin, tulani","Outsider (chaotic, eladrin, extraplanar, good)",Eladrin,Medium,Book of Exalted Deeds,171,Supplement,3.5,18,
Guardinal,"Outsider (extraplanar, Good,Guardinal)",Guardinal,Varies,Book of Exalted Deeds,172,Supplement,3.5,Varies,
"Guardinal, equinal","Outsider (extraplanar, Good,Guardinal)",Guardinal,Large,Book of Exalted Deeds,173,Supplement,3.5,6,
"Guardinal, musteval","Outsider (extraplanar, Good,Guardinal)",Guardinal,Tiny,Book of Exalted Deeds,174,Supplement,3.5,2,
"Guardinal, ursinal","Outsider (extraplanar, Good,Guardinal)",Guardinal,Large,Book of Exalted Deeds,174,Supplement,3.5,10,
Hollyphant,"Outsider (extraplanar, good)",,Small/Large,Book of Exalted Deeds,176,Supplement,3.5,8,
Leskylor,Magical beast,,Large,Book of Exalted Deeds,177,Supplement,3.5,7,
"Leskylor, three-headed",Magical beast,,Large,Book of Exalted Deeds,177,Supplement,3.5,10,
Moon dog,"Outsider (extraplanar, good)",,Medium,Book of Exalted Deeds,179,Supplement,3.5,12,
Quesar,Construct (extraplanar),,Medium,Book of Exalted Deeds,180,Supplement,3.5,7,
Rhek,Monstrous humanoid (extraplanar),,Medium,Book of Exalted Deeds,181,Supplement,3.5,4,
"Rhek, chaosgrinder",Monstrous humanoid (extraplanar),,Medium,Book of Exalted Deeds,181,Supplement,3.5,12,
Sacred watcher,Deathless (augmented Humanoid),,Medium,Book of Exalted Deeds,182,Supplement,3.5,7,
Saint,"Outsider (augmented Humanoid, Native)",,Medium,Book of Exalted Deeds,184,Supplement,3.5,9,
Sanctified creature,As base creature,,Varies,Book of Exalted Deeds,186,Supplement,3.5,Varies,
"Swarm, apocalypse frog",Magical beast (swarm),Swarm,Diminutive,Book of Exalted Deeds,188,Supplement,3.5,4,
"Swarm, bronze locust",Construct (swarm),Swarm,Fine,Book of Exalted Deeds,188,Supplement,3.5,17,
"Swarm, deathraven",Magical beast (swarm),Swarm,Tiny,Book of Exalted Deeds,189,Supplement,3.5,20,
"Swarm, divine wrath",(swarm),Swarm,Varies,Book of Exalted Deeds,188,Supplement,3.5,Varies,
"Swarm, sunfly","Outsider (extraplanar, good, Swarm)",Swarm,Diminutive,Book of Exalted Deeds,190,Supplement,3.5,10,
Bone creature (template),Undead,,Varies,Book of Vile Darkness,184,Supplement,3,Varies,
Corpse creature (template),Undead,,Varies,Book of Vile Darkness,185,Supplement,3,Varies,
Corrupted cretaure (template),Aberration,,Varies,Book of Vile Darkness,186,Supplement,3,Varies,
"Demon, babau","Outsider (chaotic, evil, tanar'ri)",Demon,Medium,Book of Vile Darkness,173,Supplement,3,7,
"Demon, bar-lgura","Outsider (chaotic, evil, tanar'ri)",Demon,Medium,Book of Vile Darkness,171,Supplement,3,5,
"Demon, chasme","Outsider (chaotic, evil, tanar'ri)",Demon,Large,Book of Vile Darkness,174,Supplement,3,10,
"Demon, manes","Outsider (chaotic, evil, tanar'ri)",Demon,Small,Book of Vile Darkness,169,Supplement,3,1,
"Demon, rutterkin","Outsider (chaotic, evil, tanar'ri)",Demon,Medium,Book of Vile Darkness,170,Supplement,3,3,
"Demon, shadow demon","Outsider (chaotic, evil)",Demon,Medium,Book of Vile Darkness,173,Supplement,3,8,
"Devil, ghargatula","Outsider (baatezu, evil, lawful)",Devil,Medium,Book of Vile Darkness,176,Supplement,3,16,
"Devil, kocrachon","Outsider (baatezu, evil, lawful)",Devil,Medium,Book of Vile Darkness,175,Supplement,3,6,
Eye of fear and flame,Undead,,Medium,Book of Vile Darkness,177,Supplement,3,8,
Kython,Aberration,Kython,Varies,Book of Vile Darkness,178,Supplement,3,Varies,
"Kython, adult",Aberration,Kython,Medium,Book of Vile Darkness,179,Supplement,3,5,
"Kython, broodling",Aberration,Kython,Small,Book of Vile Darkness,179,Supplement,3,1,
"Kython, impaler",Aberration,Kython,Medium,Book of Vile Darkness,180,Supplement,3,8,
"Kython, juvenile",Aberration,Kython,Medium,Book of Vile Darkness,179,Supplement,3,3,
"Kython, slaughterking",Aberration,Kython,Large,Book of Vile Darkness,181,Supplement,3,13,
"Kython, slaymaster",Aberration,Kython,Large,Book of Vile Darkness,180,Supplement,3,11,
Vaath,Outsider,,Large,Book of Vile Darkness,182,Supplement,3,4,
Vilewight,Undead,,Medium,Book of Vile Darkness,183,Supplement,3,8,
Dendar the Night Serpent,"Outsider (evil, extraplanar)",,Colossal,Champions of Ruin,140,Setting - Forgotten Realms,3.5,26,
"Devil, malikizid, the branded king","Outsider (baatezu, evil, extraplanar, lawful)",Devil,Large,Champions of Ruin,155,Setting - Forgotten Realms,3.5,27,
"Eltab, lord of the hidden layer","Outsider (chaotic, extraplanar, evil)",,Large,Champions of Ruin,133,Setting - Forgotten Realms,3.5,28,
Ithyak-ortheel,"Outsider (chaotic, evil, extraplanar)",,Colossal,Champions of Ruin,149,Setting - Forgotten Realms,3.5,22,
Kezef the Chaos Hound,"Outsider (chaotic, evil, extraplanar)",,Huge,Champions of Ruin,144,Setting - Forgotten Realms,3.5,21,
Living zombie (template),As base creature,,Varies,Champions of Ruin,129,Setting - Forgotten Realms,3.5,Varies,
Battle effigy,Construct,,Medium,Champions of Valor,153,Setting - Forgotten Realms,3.5,6,
"Equine, amphail gray",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,1,
"Equine, calimite",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,1,
"Equine, chionthar",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,1,
"Equine, cormyrean destrier",Animal,Equine,Large,Champions of Valor,154,Setting - Forgotten Realms,3.5,2,
"Equine, dales pony",Animal,Equine,Medium,Champions of Valor,154,Setting - Forgotten Realms,3.5,1/4,
"Equine, dambraii",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,
"Equine, haMonster Manualer pony",Animal,Equine,Medium,Champions of Valor,155,Setting - Forgotten Realms,3.5,1/2,
"Equine, island pony",Animal,Equine,Medium,Champions of Valor,155,Setting - Forgotten Realms,3.5,1/4,
"Equine, kromlor",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,
"Equine, lhesperan",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,
"Equine, meth",Animal,Equine,Large,Champions of Valor,155,Setting - Forgotten Realms,3.5,1,
"Equine, nars",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,
"Equine, raurin",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,
"Equine, semphari",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,
"Equine, shaaran zebra",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,
"Equine, shad'iar",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,
"Equine, sosser",Animal,Equine,Large,Champions of Valor,156,Setting - Forgotten Realms,3.5,1,
"Equine, steppe",Animal,Equine,Large,Champions of Valor,157,Setting - Forgotten Realms,3.5,1,
"Equine, tharurr",Animal,Equine,Large,Champions of Valor,157,Setting - Forgotten Realms,3.5,2,
"Equine, uglib",Animal,Equine,Medium,Champions of Valor,157,Setting - Forgotten Realms,3.5,1/3,
"Equine, whiteshield",Animal,Equine,Medium,Champions of Valor,157,Setting - Forgotten Realms,3.5,1/2,
Dweomervore,Dragon,,Small,City of Splendors: Waterdeep,134,Setting - Forgotten Realms,3.5,7,
Guardgoyle,Construct,,Small,City of Splendors: Waterdeep,135,Setting - Forgotten Realms,3.5,2,
Leucrotta,Magical beast,,Large,City of Splendors: Waterdeep,136,Setting - Forgotten Realms,3.5,4,
"Leucrotta, changesteed",Magical beast (shapechanger),,Large,City of Splendors: Waterdeep,137,Setting - Forgotten Realms,3.5,5,
Scaladar,Construct,,Large,City of Splendors: Waterdeep,138,Setting - Forgotten Realms,3.5,8,
Walking statue of Waterdeep,Construct,,Gargantuan,City of Splendors: Waterdeep,139,Setting - Forgotten Realms,3.5,18,
Watchspider,Magical beast,,Medium,City of Splendors: Waterdeep,140,Setting - Forgotten Realms,3.5,1,
Wilora,Magical beast,,Tiny,City of Splendors: Waterdeep,141,Setting - Forgotten Realms,3.5,2,
"Wraith, sea wraith",Undead (incorporeal),Wraith,Medium,City of Splendors: Waterdeep,142,Setting - Forgotten Realms,3.5,5,
Arachnoid creature (template),Aberration,,Varies,City of the Spider Queen,124,Adventure - Forgotten Realms,3,Varies,
"Demon, blood fiend",Undead,Demon,Large,City of the Spider Queen,116,Adventure - Forgotten Realms,3,14,
"Demon, maurezhi","Outsider (chaotic, evil)",Demon,Medium,City of the Spider Queen,117,Adventure - Forgotten Realms,3,9,
Drider vampire,Undead,,Large,City of the Spider Queen,118,Adventure - Forgotten Realms,3,9,
"Ghoul, abyssal ghoul",Undead,,Medium,City of the Spider Queen,115,Adventure - Forgotten Realms,3,10,
"Golem, spiderstone golem",Construct,Golem,Large,City of the Spider Queen,120,Adventure - Forgotten Realms,3,18,
"Half-dragon, faerunian (template)",Dragon,Dragon,Varies,City of the Spider Queen,126,Adventure - Forgotten Realms,3,Varies,
Keening spirit (template),Undead,,Varies,City of the Spider Queen,126,Adventure - Forgotten Realms,3,Varies,
Orb wraith,Undead,,Huge,City of the Spider Queen,122,Adventure - Forgotten Realms,3,19,
Quth-maren,Undead,,Medium,City of the Spider Queen,123,Adventure - Forgotten Realms,3,7,
Revenant (template),Undead,,Varies,City of the Spider Queen,127,Adventure - Forgotten Realms,3,Varies,
Silveraith (template),Undead (incorporeal),,Varies,City of the Spider Queen,127,Adventure - Forgotten Realms,3,Varies,
"Spider, jade spider",Construct,,Gargantuan,City of the Spider Queen,121,Adventure - Forgotten Realms,3,14,
Wraith spider,Undead,Wraith,Varies,City of the Spider Queen,124,Adventure - Forgotten Realms,3,Varies,
Cesspit ooze,Ooze,,Large,Cityscape,128,Supplement,3.5,9,
"Golem, siege golem",Construct,Golem,Gargantuan,Cityscape,126,Supplement,3.5,12,
Pest swarm,Animal,,Tiny,Cityscape,136,Supplement,3.5,5,
Ripper,Aberration,,Medium,Cityscape,131,Supplement,3.5,6,
Sepulchral thief (template),Undead,,Varies,Cityscape,133,Supplement,3.5,Varies,
Zeitgeist,Fey,,Huge,Cityscape,138,Supplement,3.5,23,
Jumping caltrop,Construct,,Tiny,Complete Adventurer,133,Supplement,3.5,1/4,
Animated rug of welcome,Construct,,Large,Complete Arcane,150,Supplement,3.5,5,
Effigy creature (template),Construct,,Varies,Complete Arcane,152,Supplement,3.5,Varies,
"Grue, chaggrin (earth grue) (elemental grue)","Elemental (earth, evil, extraplanar)",Grue,Medium,Complete Arcane,153,Supplement,3.5,2,
"Grue, harginn (fire grue) (elemental grue)","Elemental (evil, extraplanar, fire)",Grue,Medium,Complete Arcane,154,Supplement,3.5,2,
"Grue, ildriss (air grue) (elemental grue)","Elemental (air, evil, extraplanar)",Grue,Medium,Complete Arcane,155,Supplement,3.5,2,
"Grue, vardigg (water grue) (elemental grue)","Elemental (evil, extraplanar, water)",Grue,Medium,Complete Arcane,155,Supplement,3.5,2,
"Monolith, air","Elemental (air, extraplanar)",Elemental,Gargantuan,Complete Arcane,156,Supplement,3.5,17,
"Monolith, earth","Elemental (earth, extraplanar)",Elemental,Gargantuan,Complete Arcane,157,Supplement,3.5,17,
"Monolith, fire","Elemental (extraplanar, fire)",Elemental,Gargantuan,Complete Arcane,158,Supplement,3.5,17,
"Monolith, water","Elemental (extraplanar, water)",Elemental,Gargantuan,Complete Arcane,158,Supplement,3.5,17,
Pseudonatural creature (template),Outsider,,Varies,Complete Arcane,160,Supplement,3.5,Varies,
Spellstitched (template),As base creature,,Varies,Complete Arcane,161,Supplement,3.5,Varies,
Bogun,Construct,,Tiny,Complete Divine,152,Supplement,3.5,1,
Agile loper,Construct,,Varies,Complete Psionic,121,Supplement,3.5,Varies,
Alabaster aerial,Construct,,Varies,Complete Psionic,122,Supplement,3.5,Varies,
Amber tunneler,Construct,,Varies,Complete Psionic,123,Supplement,3.5,Varies,
Anathemic carapace,Construct,,Varies,Complete Psionic,124,Supplement,3.5,Varies,
Astral aquan,Construct,,Varies,Complete Psionic,125,Supplement,3.5,Varies,
Astral construct,Construct,,Varies,Complete Psionic,120,Supplement,3.5,Varies,
Ebony stinger,Construct,,Varies,Complete Psionic,126,Supplement,3.5,Varies,
Ectoplasmic swarm,"Magical beast (Psionic, Swarm)",,Diminutive,Complete Psionic,129,Supplement,3.5,5,
"Elemental steward, arctine","Elemental (Cold, extraplanar, psionic, water)",Elemental,Small,Complete Psionic,130,Supplement,3.5,2,
"Elemental steward, emberling","Elemental (extraplanar, fire, psionic)",Elemental,Small,Complete Psionic,130,Supplement,3.5,2,
"Elemental steward, geodite","Elemental (earth, extraplanar, psionic)",Elemental,Small,Complete Psionic,131,Supplement,3.5,2,
"Elemental steward, tempestan","Elemental (air, extraplanar, psionic)",Elemental,Small,Complete Psionic,132,Supplement,3.5,2,
Emerald gyre,Construct,,Varies,Complete Psionic,127,Supplement,3.5,Varies,
Iridescent serpent,Construct,,Varies,Complete Psionic,128,Supplement,3.5,Varies,
Larval flayer,Aberration (psionic),,Tiny,Complete Psionic,133,Supplement,3.5,1,
Shadow fet,"Outsider (evil, extraplanar, psionic)",,Large,Complete Psionic,134,Supplement,3.5,5,
Sibyllic guardian,"Outsider (Archon, extraplanar, good, lawful, psionic)",,Medium,Complete Psionic,135,Supplement,3.5,10,
Spectral savant (template),Undead (humanoid),,Varies,Complete Psionic,136,Supplement,3.5,Varies,
Blade guardian,Construct,,Medium,Complete Warrior,120,Supplement,3.5,6,
Gauntlet guardian,Construct,,Small,Complete Warrior,120,Supplement,3.5,4,
Spark guardian,Construct,,Tiny,Complete Warrior,119,Supplement,3.5,3,
"Bat, desmodu guard",Animal,,Large,Deep Horizon,31,Adventure,3,Varies,
"Bat, desmodu war",Animal,,Huge,Deep Horizon,31,Adventure,3,Varies,
Desmodu,Monstrous humanoid,,Large,Deep Horizon,29,Adventure,3,9,
Harrier,Magical beast,,Large,Defenders of the Faith,87,Supplement,3,3,
"Cyclops, greater",Giant,,Huge,Deities and Demigods,132,Supplement,3,11,
"Cyclops, lesser",Giant,,Large,Deities and Demigods,132,Supplement,3,8,
Dwarf einherjar,Outsider (quasi-deity),Dwarf,Small,Deities and Demigods,199,Supplement,3,20,
"Elf, einherjar",Outsider (quasi-deity),Elf,Medium,Deities and Demigods,199,Supplement,3,20,
Faun,Fey,,Medium,Deities and Demigods,133,Supplement,3,1/2,
"Frost giant, jotunheim",Outsider (evil),,Gargantuan,Deities and Demigods,200,Supplement,3,20,
"Giant, muspelheim fire giant","Outsider (evil, fire, lawful)",Giant,Gargantuan,Deities and Demigods,200,Supplement,3,20,
Human einherjar,Outsider (quasi-deity),,Medium,Deities and Demigods,199,Supplement,3,20,
Minion of Set,"Outsider (chaotic, evil)",,Medium,Deities and Demigods,158,Supplement,3,6,
"MuMonster Manualy, greater (template)",Undead,MuMonster Manualy,Varies,Deities and Demigods,159,Supplement,3,Varies,
Valkyrie,Outsider,,Medium,Deities and Demigods,200,Supplement,3,20,
Valkyries' mount,Outsider,,Large,Deities and Demigods,201,Supplement,3,12,
Xag-ya,Outsider,,Medium,Deities and Demigods,210,Supplement,3,4,
Acid beast,Magical beast,Acid beast,Medium,Diablo II: Diablerie,64,Setting - Diablo,3,2,
"Acid beast, lava maw",Magical beast,Acid beast,Medium,Diablo II: Diablerie,64,Setting - Diablo,3,6,
"Acid beast, pit beast",Magical beast,Acid beast,Medium,Diablo II: Diablerie,64,Setting - Diablo,3,4,
"Acid beast, poison spitter",Magical beast,Acid beast,Medium,Diablo II: Diablerie,64,Setting - Diablo,3,3,
"Bat demon, blink bat",Magical beast,,Small,Diablo II: Diablerie,65,Setting - Diablo,3,2,
"Bat demon, blood diver",Magical beast,,Small,Diablo II: Diablerie,65,Setting - Diablo,3,3,
"Bat demon, dark familiar",Magical beast,,Small,Diablo II: Diablerie,65,Setting - Diablo,3,4,
"Bat demon, desert wing",Magical beast,,Small,Diablo II: Diablerie,65,Setting - Diablo,3,1,
"Bat demon, fiend",Magical beast,,Small,Diablo II: Diablerie,65,Setting - Diablo,3,1,
"Bat demon, gloom bat",Magical beast,,Small,Diablo II: Diablerie,65,Setting - Diablo,3,2,
Bloodhawk,Magical beast,,Small,Diablo II: Diablerie,67,Setting - Diablo,3,1,
"Bloodhawk, black raptor",Magical beast,,Small,Diablo II: Diablerie,67,Setting - Diablo,3,1,
"Bloodhawk, cloud stalker",Magical beast,,Small,Diablo II: Diablerie,67,Setting - Diablo,3,1,
"Bloodhawk, foul crow",Magical beast,,Small,Diablo II: Diablerie,67,Setting - Diablo,3,1/2,
Claw viper,Monstrous humanoid,,Large,Diablo II: Diablerie,68,Setting - Diablo,3,3,
"Claw viper, pit viper",Monstrous humanoid,,Large,Diablo II: Diablerie,68,Setting - Diablo,3,5,
"Claw viper, salamander",Monstrous humanoid,,Large,Diablo II: Diablerie,68,Setting - Diablo,3,4,
"Claw viper, serpent magus",Monstrous humanoid,,Large,Diablo II: Diablerie,68,Setting - Diablo,3,6,
"Claw viper, tomb viper",Monstrous humanoid,,Large,Diablo II: Diablerie,68,Setting - Diablo,3,2,
"Corrupt rogue, black rogue",Humanoid,,Medium,Diablo II: Diablerie,69,Setting - Diablo,3,2,
"Corrupt rogue, dark hunter",Humanoid,,Medium,Diablo II: Diablerie,69,Setting - Diablo,3,1/4,
"Corrupt rogue, dark stalker",Humanoid,,Medium,Diablo II: Diablerie,69,Setting - Diablo,3,1,
"Corrupt rogue, flesh hunter",Humanoid,,Medium,Diablo II: Diablerie,69,Setting - Diablo,3,4,
"Corrupt rogue, vile hunter",Humanoid,,Medium,Diablo II: Diablerie,69,Setting - Diablo,3,1/2,
Fallen one,Outsider,Fallen one,Small,Diablo II: Diablerie,70,Setting - Diablo,3,1/6,
"Fallen one shaman, demented",Outsider,Fallen one,Small,Diablo II: Diablerie,71,Setting - Diablo,3,2,
"Fallen one shaman, depraved",Outsider,Fallen one,Small,Diablo II: Diablerie,71,Setting - Diablo,3,3,
"Fallen one shaman, deranged",Outsider,Fallen one,Small,Diablo II: Diablerie,71,Setting - Diablo,3,2,
"Fallen one shaman, enraged",Outsider,Fallen one,Small,Diablo II: Diablerie,71,Setting - Diablo,3,1,
"Fallen one shaman, warped",Outsider,Fallen one,Small,Diablo II: Diablerie,71,Setting - Diablo,3,4,
"Fallen one, carver",Outsider,Fallen one,Small,Diablo II: Diablerie,70,Setting - Diablo,3,1/4,
"Fallen one, dark one",Outsider,Fallen one,Small,Diablo II: Diablerie,70,Setting - Diablo,3,1,
"Fallen one, devilkin",Outsider,Fallen one,Small,Diablo II: Diablerie,70,Setting - Diablo,3,1/2,
"Fallen one, warped one",Outsider,Fallen one,Small,Diablo II: Diablerie,70,Setting - Diablo,3,2,
Gargoyle,Construct,Gargoyle,Medium,Diablo II: Diablerie,72,Setting - Diablo,3,5,
"Gargoyle, blood claw",Construct,Gargoyle,Medium,Diablo II: Diablerie,72,Setting - Diablo,3,6,
"Gargoyle, death wing",Construct,Gargoyle,Medium,Diablo II: Diablerie,72,Setting - Diablo,3,7,
"Gargoyle, winged demon",Construct,Gargoyle,Medium,Diablo II: Diablerie,72,Setting - Diablo,3,4,
"Goatman, blood clan",Outsider,,Medium,Diablo II: Diablerie,73,Setting - Diablo,3,2,
"Goatman, death clan",Outsider,,Medium,Diablo II: Diablerie,73,Setting - Diablo,3,3,
"Goatman, hell clan",Outsider,,Medium,Diablo II: Diablerie,73,Setting - Diablo,3,4,
"Goatman, moon clan",Outsider,,Medium,Diablo II: Diablerie,73,Setting - Diablo,3,1/2,
"Goatman, night clan",Outsider,,Medium,Diablo II: Diablerie,73,Setting - Diablo,3,1,
"Golem, blood golem",Construct,Golem,Medium,Diablo II: Diablerie,74,Setting - Diablo,3,3,
"Golem, clay golem",Construct,Golem,Medium,Diablo II: Diablerie,74,Setting - Diablo,3,2,
"Golem, fire golem",Construct,Golem,Medium,Diablo II: Diablerie,74,Setting - Diablo,3,6,
"Golem, iron golem",Construct,Golem,Medium,Diablo II: Diablerie,74,Setting - Diablo,3,4,
"Megademon, balrog",Outsider,Demon,Large,Diablo II: Diablerie,76,Setting - Diablo,3,16,
"Megademon, pit lord",Outsider,Demon,Huge,Diablo II: Diablerie,76,Setting - Diablo,3,18,
"Megademon, venom lord",Outsider,Demon,Huge,Diablo II: Diablerie,76,Setting - Diablo,3,20,
Scavenger,Magical beast,,Small,Diablo II: Diablerie,78,Setting - Diablo,3,1/3,
"Scavenger, bone gnasher",Magical beast,,Small,Diablo II: Diablerie,78,Setting - Diablo,3,1,
"Scavenger, plague eater",Magical beast,,Small,Diablo II: Diablerie,78,Setting - Diablo,3,1/2,
"Scavenger, shadow beast",Magical beast,,Small,Diablo II: Diablerie,78,Setting - Diablo,3,1,
Skeleton,Undead,Skeleton,Medium,Diablo II: Diablerie,79,Setting - Diablo,3,1/4,
"Skeleton, bone mage",Undead,Skeleton,Medium,Diablo II: Diablerie,80,Setting - Diablo,3,3,
"Skeleton, bone warrior",Undead,Skeleton,Medium,Diablo II: Diablerie,79,Setting - Diablo,3,1,
"Skeleton, burning dead",Undead,Skeleton,Medium,Diablo II: Diablerie,79,Setting - Diablo,3,2,
"Skeleton, burning dead mage",Undead,Skeleton,Medium,Diablo II: Diablerie,80,Setting - Diablo,3,4,
"Skeleton, hell horror",Undead,Skeleton,Medium,Diablo II: Diablerie,79,Setting - Diablo,3,4,
"Skeleton, horror",Undead,Skeleton,Medium,Diablo II: Diablerie,79,Setting - Diablo,3,3,
"Skeleton, horror mage",Undead,Skeleton,Medium,Diablo II: Diablerie,80,Setting - Diablo,3,5,
"Skeleton, returned",Undead,Skeleton,Medium,Diablo II: Diablerie,79,Setting - Diablo,3,1/2,
"Skeleton, returned mage",Undead,Skeleton,Medium,Diablo II: Diablerie,80,Setting - Diablo,3,1,
"Spider, arach",Magical beast,,Medium,Diablo II: Diablerie,81,Setting - Diablo,3,2,
"Spider, flame spider",Magical beast,,Medium,Diablo II: Diablerie,81,Setting - Diablo,3,5,
"Spider, poison spinner",Magical beast,,Medium,Diablo II: Diablerie,81,Setting - Diablo,3,4,
"Spider, spider magus",Magical beast,,Medium,Diablo II: Diablerie,81,Setting - Diablo,3,6,
Tainted,Magical beast,,Medium,Diablo II: Diablerie,82,Setting - Diablo,3,4,
"Tainted, afflicted",Magical beast,,Medium,Diablo II: Diablerie,82,Setting - Diablo,3,6,
"Tainted, damned",Magical beast,,Medium,Diablo II: Diablerie,82,Setting - Diablo,3,9,
"Tainted, disfigured",Magical beast,,Medium,Diablo II: Diablerie,82,Setting - Diablo,3,3,
"Tainted, misshapen",Magical beast,,Medium,Diablo II: Diablerie,82,Setting - Diablo,3,1,
"Vampire, banished",Undead,Vampire,Medium,Diablo II: Diablerie,83,Setting - Diablo,3,4,
"Vampire, blood lord",Undead,Vampire,Medium,Diablo II: Diablerie,83,Setting - Diablo,3,8,
"Vampire, dark lord",Undead,Vampire,Medium,Diablo II: Diablerie,83,Setting - Diablo,3,7,
"Vampire, ghoul lord",Undead,Vampire,Medium,Diablo II: Diablerie,83,Setting - Diablo,3,5,
"Vampire, night lord",Undead,Vampire,Medium,Diablo II: Diablerie,83,Setting - Diablo,3,6,
Wraith,Undead,Wraith,Medium,Diablo II: Diablerie,85,Setting - Diablo,3,3,
"Wraith, apparition",Undead,Wraith,Medium,Diablo II: Diablerie,85,Setting - Diablo,3,5,
"Wraith, dark shape",Undead,Wraith,Medium,Diablo II: Diablerie,85,Setting - Diablo,3,6,
"Wraith, ghost",Undead,Wraith,Medium,Diablo II: Diablerie,85,Setting - Diablo,3,2,
"Wraith, specter",Undead,Wraith,Medium,Diablo II: Diablerie,85,Setting - Diablo,3,4,
Zombie,Undead,Zombie,Medium,Diablo II: Diablerie,87,Setting - Diablo,3,1/3,
"Zombie, drowned carcass",Undead,Zombie,Medium,Diablo II: Diablerie,87,Setting - Diablo,3,6,
"Zombie, ghoul",Undead,Zombie,Medium,Diablo II: Diablerie,87,Setting - Diablo,3,1,
"Zombie, hungry dead",Undead,Zombie,Medium,Diablo II: Diablerie,87,Setting - Diablo,3,1/2,
"Zombie, plague bearer",Undead,Zombie,Medium,Diablo II: Diablerie,87,Setting - Diablo,3,4,
Hell bovine,Magical beast,,Large,Diablo II: To Hell & Back]] web enhancement,,Setting - Diablo,3,9,
